,ORCID ID,ORCID_ID,Organization,Status,Role_Title,Start_Date,Keywords,Number_of_Works,Given_Name,Family_Name
539,0000-0002-4791-0373,0000-0002-4791-0373,IRCCS Humanitas Research Hospital,APPROVED,Physicist,2012,N/A,206,Stefano,Tomatis
540,0000-0002-5901-4269,0000-0002-5901-4269,Istituto di Bioimmagini e Sistemi Biologici Complessi,APPROVED,,2024,microRNA; biomarkers; NCD; cancer; cellular and molecular biology; epigenetics;,82,Gloria,Bertoli
541,0000-0003-2066-7470,0000-0003-2066-7470,Instituto Politécnico Nacional,APPROVED,Assistant Professor,2020,N/A,60,David,Cruz-Ortiz
542,0000-0002-6148-1894,0000-0002-6148-1894,Azienda Socio Sanitaria Territoriale di Monza,APPROVED,Neurosurgeon,2018,N/A,47,Andrea,Di Cristofori
543,0000-0003-4901-2910,0000-0003-4901-2910,N/A,APPROVED,N/A,N/A,N/A,1,Mirko,Rima
544,0000-0001-7840-6228,0000-0001-7840-6228,N/A,APPROVED,N/A,N/A,N/A,35,MARCO,CREMASCHI
545,0000-0001-7630-7517,0000-0001-7630-7517,University College London,APPROVED,,N/A,N/A,78,Rhodri,Davies
546,0000-0002-0165-7931,0000-0002-0165-7931,Humanitas University,APPROVED,Adjunt Professor,2023,"Medical Physics, Physics in Radiation Oncology",232,Pietro,Mancosu
547,0000-0002-1956-5496,0000-0002-1956-5496,Cell Press,APPROVED,Scientific Editor,2021,N/A,8,Catherine,Landis
548,0000-0002-6052-3140,0000-0002-6052-3140,Universita degli Studi di Milano-Bicocca,APPROVED,Researcher,2012,N/A,107,Micol,Rossini
549,0000-0003-4680-0989,0000-0003-4680-0989,Studio dentistico Serafin,APPROVED,,2015,"Orthodontics, Biomechanics, Digital Dentistry, Endodontics",19,Marco,Serafin
550,0000-0002-0703-9851,0000-0002-0703-9851,N/A,APPROVED,N/A,N/A,N/A,7,Magauiya,Zhussip
551,0000-0003-1381-9069,0000-0003-1381-9069,N/A,APPROVED,N/A,N/A,HTA,5,Emanuela,Foglia
552,0000-0002-9617-8465,0000-0002-9617-8465,N/A,APPROVED,N/A,N/A,N/A,1,Alessio,Albé
553,0000-0001-9274-4047,0000-0001-9274-4047,N/A,APPROVED,N/A,N/A,N/A,54,GIULIANO,GROSSI
554,0000-0002-1443-2192,0000-0002-1443-2192,AmeriSave Mortgage Corporation,APPROVED,,2016,N/A,3,Prakash,Chourasia
555,0000-0002-9524-8492,0000-0002-9524-8492,Istituto Giannina Gaslini,APPROVED,,2020,N/A,87,Paolo,Uva
556,0000-0002-4210-6271,0000-0002-4210-6271,Politecnico di Milano,APPROVED,PhD Student,2022,N/A,3,Federico,Giannini
557,0000-0002-6184-3971,0000-0002-6184-3971,Moldova State University,APPROVED,Principal Researcher,N/A,N/A,175,Artiom,Alhazov
558,0000-0001-9134-4025,0000-0001-9134-4025,Jozef Stefan Institute,APPROVED,Researcher,2018,N/A,6,M.Besher,Massri
559,0000-0002-2435-3543,0000-0002-2435-3543,Università di Pisa,APPROVED,Tenure-Track Assistant Professor (RTDb),2022,N/A,66,Jacopo,Soldani
560,0000-0002-8629-3056,0000-0002-8629-3056,N/A,APPROVED,N/A,N/A,N/A,30,Andrea,Trentini
561,0000-0002-9221-879X,0000-0002-9221-879X,N/A,APPROVED,N/A,N/A,N/A,116,Guido,Sciavicco
562,0000-0003-1585-2962,0000-0003-1585-2962,Taif University,APPROVED,Professor,2016,N/A,265,Roobaea,Alroobaea
563,0000-0003-2868-7732,0000-0003-2868-7732,N/A,APPROVED,N/A,N/A,N/A,101,Giuseppe,Agapito
564,0000-0001-7197-4441,0000-0001-7197-4441,N/A,APPROVED,N/A,N/A,N/A,1,Alberto,Raimondi
565,0000-0001-7841-3612,0000-0001-7841-3612,N/A,APPROVED,N/A,N/A,N/A,51,Lara,Mangravite
566,0000-0003-1103-7688,0000-0003-1103-7688,IRCCS Ospedale San Raffaele,APPROVED,Computational Biologist,2021,N/A,26,Stefano,de Pretis
567,0000-0002-4193-5609,0000-0002-4193-5609,Graz University of Technology,APPROVED,Postdoc,2021,N/A,25,Martin,Tappler
568,0000-0002-4629-2091,0000-0002-4629-2091,N/A,APPROVED,N/A,N/A,N/A,5,Bruce,Hoff
569,0000-0002-3721-9984,0000-0002-3721-9984,N/A,APPROVED,N/A,N/A,N/A,10,Lucrezia,Patruno
570,0000-0002-2888-4202,0000-0002-2888-4202,Spinque,APPROVED,Co-founder,N/A,"information retrieval, databases",224,Arjen,de Vries
571,0009-0005-8655-4446,0009-0005-8655-4446,N/A,APPROVED,N/A,N/A,N/A,1,Christian,Bernasconi
572,0000-0001-7248-9472,0000-0001-7248-9472,N/A,APPROVED,N/A,N/A,N/A,1,Ian-Christopher,Tanoh
573,0000-0001-9648-8669,0000-0001-9648-8669,Universidad de Alcalá,APPROVED,Titular de Universidad,2021,N/A,38,Isaias,Martinez-Yelmo
574,0000-0002-3345-0994,0000-0002-3345-0994,N/A,APPROVED,N/A,N/A,N/A,9,Martina,Caramenti
575,0000-0002-3375-6686,0000-0002-3375-6686,Human Technopole,APPROVED,Post doc,2022,N/A,8,Fabrizio,Angaroni
576,0000-0002-2013-0043,0000-0002-2013-0043,Istituto Nazionale di Genetica Molecolare,APPROVED,Facility Manager/PhD,2017,N/A,20,Chiara,Cordiglieri
577,0000-0002-4424-7895,0000-0002-4424-7895,"Fondazione IRCCS Ospedale Maggiore Policlinico, University of Milan, Milan, Italy",APPROVED,Post-doctoral fellowship ,2013,N/A,46,Erika,Peverelli
578,0000-0001-7279-1890,0000-0001-7279-1890,Fraunhofer Portugal Research,APPROVED,Machine Learning Researcher,2021,N/A,3,Nuno,Bento
579,0000-0002-3499-0159,0000-0002-3499-0159,Università degli Studi di Milano-Bicocca,APPROVED,Research Fellow,2022,N/A,22,Marco,Mobilio
580,0000-0002-6511-1217,0000-0002-6511-1217,N/A,APPROVED,N/A,N/A,N/A,2,Giulia,Ceccarelli
581,0000-0003-0385-053X,0000-0003-0385-053X,N/A,APPROVED,N/A,N/A,N/A,2,Joana,Rebelo
582,0000-0001-9135-9155,0000-0001-9135-9155,N/A,APPROVED,N/A,N/A,N/A,2,Alessandro,Vaccari
583,0000-0002-7725-4813,0000-0002-7725-4813,Finnish Institute of Molecular Medicine (FIMM),APPROVED,FIMM-EMBL Group Leader in Statistical Genetics,2024,Genotype imputation; Haplotype Phasing;,27,Simone,Rubinacci
584,0000-0003-2879-4474,0000-0003-2879-4474,Instituto Politécnico Nacional,APPROVED,Assistant Professor,2020,N/A,42,Mariana Felisa,Ballesteros Escamilla
585,0000-0001-9287-9937,0000-0001-9287-9937,ASST Centro Specialistico Ortopedico Traumatologico G. Pini - CTO,APPROVED,Medical Doctor,2020,N/A,30,Enrico,Gallazzi
586,0000-0002-2248-8145,0000-0002-2248-8145,Politecnico di Milano,APPROVED,Postdoc Researcher,2023,N/A,22,Maximiliano,Mollura
587,0000-0002-0170-0653,0000-0002-0170-0653,Università degli Studi di Milano-Bicocca,APPROVED,Associate Professor in Neurosurgery,2021,N/A,78,Giorgio,Carrabba
588,0000-0003-2661-8573,0000-0003-2661-8573,N/A,APPROVED,N/A,N/A,N/A,37,GIOVANNI,LIVRAGA
589,0000-0001-9379-277X,0000-0001-9379-277X,University of Washington,APPROVED,Professor,2009,N/A,6,Michael,Ernst
590,0000-0002-8086-9149,0000-0002-8086-9149,Fondazione Transform Transport ETS,APPROVED,Head of Research,2022,N/A,28,ANDREA,GORRINI
591,0000-0002-7261-5042,0000-0002-7261-5042,AGH University of Science and Technology,APPROVED,,2012,N/A,18,Robert,Lubaś
592,0000-0001-9312-1175,0000-0001-9312-1175,N/A,APPROVED,N/A,N/A,N/A,2,Estrella,Lucena Sánchez
593,0000-0003-4124-4186,0000-0003-4124-4186,N/A,APPROVED,N/A,N/A,N/A,21,Ren,Yang
594,0000-0002-9618-3774,0000-0002-9618-3774,N/A,APPROVED,N/A,N/A,N/A,9,Luca,De Sano
595,0000-0002-7989-1162,0000-0002-7989-1162,N/A,APPROVED,N/A,N/A,N/A,2,MARCO,LEONARDI
596,0000-0003-0358-7102,0000-0003-0358-7102,Dalhousie University,APPROVED,Associate Professor,N/A,N/A,87,Meng,He
597,0000-0002-6458-942X,0000-0002-6458-942X,N/A,APPROVED,N/A,N/A,N/A,21,Illya,Bakurov
598,0000-0003-2806-7269,0000-0003-2806-7269,Fondazione IRCCS Istituto Nazionale dei Tumori,APPROVED,Staff scientist,1999,N/A,208,Paola,Perego
599,0000-0002-9631-296X,0000-0002-9631-296X,N/A,APPROVED,N/A,N/A,N/A,0,Ghalia,Hemrit
600,0000-0001-7830-7596,0000-0001-7830-7596,Scuola Universitaria Professionale della Svizzeria Italiana Dipartimento tecnologie innovative,APPROVED,Researcher,2021,N/A,13,Vincenzo,Cutrona
601,0000-0002-5540-4104,0000-0002-5540-4104,N/A,APPROVED,N/A,N/A,N/A,68,claudia,cava
602,0000-0002-7570-637X,0000-0002-7570-637X,University of Turin,APPROVED,Associate Professor,2014,"natural language processing, data mining, lexical semantics, legal informatics, Luigi Di Caro",97,Luigi,Di Caro
603,0000-0002-0798-6429,0000-0002-0798-6429,N/A,APPROVED,N/A,N/A,N/A,38,Noemi,Corti
604,0009-0001-3001-8864,0009-0001-3001-8864,N/A,APPROVED,N/A,N/A,N/A,2,Davide,Rendina
605,0000-0002-8337-0415,0000-0002-8337-0415,N/A,APPROVED,N/A,N/A,N/A,1,Marco,Piazza
606,0000-0001-9937-6494,0000-0001-9937-6494,N/A,APPROVED,N/A,N/A,"Machine Learning, Deep Learning, Credibility assessment, Speech Recognition",10,Rishabh,Upadhyay
607,0000-0002-8711-4670,0000-0002-8711-4670,University of Modena and Reggio Emilia,APPROVED,Assistant Professor,2024,Runtime Verification; Multi-Agent Systems; Formal Verification; Software Engineering,88,Angelo,Ferrando
608,0000-0002-0747-4052,0000-0002-0747-4052,Universitetet i Oslo,APPROVED,,2018,N/A,0,Saulo,Soares de Toledo
609,0000-0001-6269-1351,0000-0001-6269-1351,lastminute.com,APPROVED,chief research officer,2017,machine learning; intrinsic dimension; deep learning,3,Alessandro,Rozza
610,0000-0002-0405-9814,0000-0002-0405-9814,Politecnico di Milano,APPROVED,Assistant Professor,N/A,N/A,0,Giovanni,Quattrocchi
611,0009-0003-1335-6559,0009-0003-1335-6559,N/A,APPROVED,N/A,N/A,N/A,0,Joran,Leest
612,0000-0003-2382-6721,0000-0003-2382-6721,IRCCS Istituto Auxologico Italiano,APPROVED,Coordinator of the Cardiac Magnetic Resonance Service,2021,N/A,89,Camilla,Torlasco
613,0000-0003-4506-2304,0000-0003-4506-2304,N/A,APPROVED,N/A,N/A,N/A,0,Fausto,Lodi
614,0009-0007-8464-8435,0009-0007-8464-8435,N/A,APPROVED,N/A,N/A,N/A,0,Ionut Daniel,Fagadau
615,0000-0002-0617-3469,0000-0002-0617-3469,The Wistar Institute,APPROVED,President and CEO/Cancer Center Director,2010,N/A,15,DARIO C,ALTIERI
616,0000-0003-0812-5927,0000-0003-0812-5927,Enrico Fermi Center for Study and Research,APPROVED,Tenured Reseacher,2022,N/A,74,Fabio,Saracco
617,0000-0001-7959-2579,0000-0001-7959-2579,N/A,APPROVED,N/A,N/A,N/A,10,Torsten,Hädrich
618,0000-0001-5520-3356,0000-0001-5520-3356,Sapienza University of Rome,APPROVED,Researcher RTDA,2023,N/A,20,federica,romagnoli
619,0009-0004-6579-4689,0009-0004-6579-4689,University of Milano-Bicocca,APPROVED,,N/A,N/A,2,Emanuele,Petriglia
620,0000-0002-3299-448X,0000-0002-3299-448X,N/A,APPROVED,N/A,N/A,N/A,38,Jianyi,Lin
621,0000-0002-6711-3080,0000-0002-6711-3080,N/A,APPROVED,N/A,N/A,N/A,0,Alessandra,Gorla
622,0000-0002-5640-6507,0000-0002-5640-6507,N/A,APPROVED,N/A,N/A,N/A,123,Domenico,Siracusa
623,0000-0003-1319-3924,0000-0003-1319-3924,N/A,APPROVED,N/A,N/A,N/A,1,Marco,Peracchi
624,0000-0003-1635-0489,0000-0003-1635-0489,Politecnico di Milano,APPROVED,PhD Candidate,2022,N/A,3,Ricardo,Coimbra Brioso
625,0000-0003-0320-559X,0000-0003-0320-559X,Humanitas University,APPROVED,Full Professor in Diagnostic Imaging and Radiotherapy ,2020,N/A,417,Marta,Scorsetti
626,0000-0002-4269-3023,0000-0002-4269-3023,University of Milano-Bicocca,APPROVED,PhD Student,2019,N/A,7,Ilaria,Crespiatico
627,0000-0003-3171-6696,0000-0003-3171-6696,University of Toronto,APPROVED,Postdoc researcher,2017,N/A,0,Cristina,Rovelli
628,0000-0002-2089-2152,0000-0002-2089-2152,N/A,APPROVED,N/A,N/A,N/A,3,Ulises,Villela
629,0000-0002-7832-5281,0000-0002-7832-5281,N/A,APPROVED,N/A,N/A,N/A,100,alain,gelibter
630,0000-0002-3413-3325,,,TO CHECK,,,,,,
631,0000-0002-1314-229X,0000-0002-1314-229X,University of Florence,APPROVED,Research Fellow,N/A,"sensory design, inclusive design, design for autism, design for health, healthcare design, design for disability, accessibility, inclusion, hospital design",26,Elena,Bellini
632,0000-0002-0163-9784,0000-0002-0163-9784,Gran Sasso Science Institute,APPROVED,Assistant Professor (Tenure Track),2023,N/A,45,AMLETO,DI SALLE
633,0000-0002-8522-9933,0000-0002-8522-9933,University of Alcalá,APPROVED,Profesor Ayudante Doctor,N/A,N/A,26,Joaquin,Alvarez-Horcajo
634,0000-0002-2526-7700,0000-0002-2526-7700,N/A,APPROVED,N/A,N/A,N/A,0,Stefan,Ohrhallinger
635,0000-0003-4955-3346,0000-0003-4955-3346,Oslo University Hospital,APPROVED,Postdoctoral Research Fellow,2024,N/A,22,Andrea,Terrasi
636,0000-0002-8882-2169,0000-0002-8882-2169,Università degli Studi di Padova,APPROVED,Professor,2017,N/A,169,Simone,Montangero
637,0000-0002-9618-2819,0000-0002-9618-2819,N/A,APPROVED,N/A,N/A,N/A,0,Gustavo,Stolovitzky
638,0000-0003-2920-5838,0000-0003-2920-5838,Cleveland Clinic,APPROVED,Postdoctoral Researcher,2022,"Bioinformatics, Computational Biology, Metagenomics, Computer Science, Machine Learning, Microbiome, Vector-Symbolic Architectures",34,Fabio,Cumbo
639,0000-0002-5545-9463,0000-0002-5545-9463,N/A,APPROVED,N/A,N/A,N/A,27,Juan Antonio,Carral
640,0000-0002-5599-6349,0000-0002-5599-6349,Politecnico di TORINO,APPROVED,Personale esterno ed autonomi,2020,"PE1_22 - Application of mathematics in industry and society, SH1_6 - Econometrics; operations research, RICERCA OPERATIVA, PROGRAMMAZIONE MATEMATICA, management science and operations research, Goal 9: Industry, Innovation, and Infrastructure",74,EDOARDO,FADDA
641,0000-0001-7818-7598,0000-0001-7818-7598,Università Cattolica del Sacro Cuore,APPROVED,Full Professor,2019,"Cyberpsychology, Virtual Reality, Rehabilitation, Positive Technology, Human Computer Interaction",432,Andrea,Gaggioli
642,0000-0002-2795-9874,0000-0002-2795-9874,N/A,APPROVED,N/A,N/A,N/A,660,Gianvincenzo,Zuccotti
643,0000-0002-5671-928X,0000-0002-5671-928X,The Wistar Institute,APPROVED,Research Assistant Professor,2020,"melanoma, stem cells, cancer stem cells, myeloid derived suppressor cells, tumor dormancy,sEvs, prostate cancer, breast cancer, hypoxia neutrophils",35,michela,perego
644,0000-0002-6385-2628,0000-0002-6385-2628,N/A,APPROVED,N/A,N/A,N/A,40,Elisa,Rojas
645,0000-0002-5366-8499,0000-0002-5366-8499,N/A,APPROVED,N/A,N/A,"Deep Learning, Reinforcement Learning, Inventory Management, Artificial Intelligence",3,Francesco,Stranieri
646,0000-0003-3529-0856,0000-0003-3529-0856,N/A,APPROVED,N/A,N/A,N/A,56,Alexander,Schönhuth
647,0000-0001-7262-8719,0000-0001-7262-8719,Ludwig-Maximilians-Universität München,APPROVED,Research fellow ,2023,N/A,25,Kyriaki,Drymoni
648,0000-0002-8264-7320,0000-0002-8264-7320,University of Milan,APPROVED,Associate Professor of Dentistry,2020,"Orthodontics, Growth, Dental Traumatology, Breath disorders",98,Alberto,Caprioglio
649,0000-0003-4909-9892,0000-0003-4909-9892,N/A,APPROVED,N/A,N/A,N/A,27,Nicola,Bena
650,0000-0002-9499-0126,0000-0002-9499-0126,N/A,APPROVED,N/A,N/A,N/A,5,RICCARDO,COLOMBO
651,0000-0002-7149-5843,0000-0002-7149-5843,Technische Universität Wien,APPROVED,Professor,2011,N/A,0,Allan,Hanbury
652,0000-0002-5002-6845,0000-0002-5002-6845,Università degli Studi di Milano,APPROVED,Professore Associato,2020,N/A,44,Luisa,Ottobrini
653,0000-0003-1544-028X,0000-0003-1544-028X,Laboratoire d’Informatique et Systèmes,APPROVED,Maître de conférences,2018,N/A,0,Antonio E.,Porreca
654,0000-0002-3428-5353,0000-0002-3428-5353,Università degli Studi di Milano-Bicocca Dipartimento di Medicina e Chirurgia,APPROVED,Physician Scientist,2020,"CAR-T cell therapy, Cancer immunotherapy, Stem cell transplantation, Lymphoproliferative disease, Myeloproliferative disease",24,Andrea,Aroldi
655,0000-0001-7508-9706,0000-0001-7508-9706,Politecnico di Milano,APPROVED,Associate Professor,N/A,N/A,134,Giacomo,Verticale
656,0000-0001-7989-9861,0000-0001-7989-9861,Universita' degli Studi di MILANO,APPROVED,Ricercatori,2023,N/A,201,Domenico,Albano
657,0000-0003-4240-3265,0000-0003-4240-3265,Institute of Cancer Research,APPROVED,Visiting scientist,2020,"Data Science, Machine Learning, Computational Biology, Bioinformatics, Artificial Intelligence, Cancer Genomics, Cancer Evolution",107,Giulio,Caravagna
658,0000-0001-6873-7832,0000-0001-6873-7832,N/A,APPROVED,N/A,N/A,N/A,0,Casper,Reijnen
659,0000-0002-9065-3886,0000-0002-9065-3886,N/A,APPROVED,N/A,N/A,N/A,121,Giovanna,Mantovani
660,0000-0002-3259-614X,0000-0002-3259-614X,N/A,APPROVED,N/A,N/A,N/A,25,Symeon,Symeonidis
661,0000-0002-3006-4414,0000-0002-3006-4414,N/A,APPROVED,N/A,N/A,N/A,1,Michell,Guzman Cancimance
662,0000-0002-7543-2751,0000-0002-7543-2751,Politecnico di Milano,APPROVED,Associate Professor for Human-centered Operations Systems,2022,"Logistics, Production, Supply Chain Management, Sustainability, AI, Digitalization, DEA",37,Matthias,Klumpp
663,0000-0002-6124-2965,0000-0002-6124-2965,N/A,APPROVED,N/A,N/A,N/A,0,Riccardo,Dondi
664,0000-0002-9231-1281,0000-0002-9231-1281,Fondazione IRCCS Istituto Nazionale dei Tumori,APPROVED,,N/A,N/A,175,paolo,verderio
665,0000-0003-0332-9533,0000-0003-0332-9533,N/A,APPROVED,N/A,N/A,N/A,3,Ilaria,Erba
666,0000-0002-6786-5194,0000-0002-6786-5194,University of Natural Resources and Life Sciences,APPROVED,Full Professor for digital transformation in smart farm and forest operations,2022,"Human-Centered AI, Explainable AI, interactive Machine Learning, trustworthy Artificial Intelligence, Decision Support, digital transformation",431,Andreas,HOLZINGER
667,0000-0002-7047-0556,0000-0002-7047-0556,Izmir Institute of Technology,APPROVED,Postdoctoral researcher / lecturer,2022,N/A,14,Görkem,Kılınç Soylu
668,0000-0002-4554-455X,0000-0002-4554-455X,Huazhong University of Science and Technology,APPROVED,Professor,2002,"Membrane computing, DNA computing, Systems Biology, Graph theory",128,Linqiang,Pan
669,0000-0002-5856-4453,0000-0002-5856-4453,Bocconi University,APPROVED,Assistant Professor,2023,N/A,41,ANDREA,TANGHERLONI
670,0000-0001-8874-1070,0000-0001-8874-1070,N/A,APPROVED,N/A,N/A,N/A,19,Tommaso,Bocci
671,0000-0002-7998-2267,0000-0002-7998-2267,Bocconi University,APPROVED,Postdoctoral Researcher,N/A,"Natural Language Processing, Hate Speech, Bias",68,DEBORA,NOZZA
672,0000-0002-5943-8037,0000-0002-5943-8037,"University of Belgrade, Faculty of Mathematics",APPROVED,full professor,2019,"Operational research, Computational intelligence, Big data, Metaheuristics, Evolutionary algorithms, Bioinformatics, Graph theory",40,Vladimir,Filipovic
673,0000-0003-4384-3027,0000-0003-4384-3027,University of Toronto,APPROVED,Professor,N/A,N/A,65,Heather,Ross
674,0000-0003-0740-1061,0000-0003-0740-1061,Politecnico di Milano,APPROVED,Associate Professor,2010,"cloud computing, networking, optical communications",440,Massimo,Tornatore
675,0009-0001-0144-0759,0009-0001-0144-0759,IRCCS Ospedale San Raffaele,APPROVED,,N/A,N/A,1,Kiarash,Moghaddasi
676,0000-0003-0617-6245,0000-0003-0617-6245,IRCCS Ospedale San Raffaele,APPROVED,Computational Biologist,2023,N/A,11,Valentina,Giansanti
677,0000-0002-0163-1395,0000-0002-0163-1395,Khalifa University College of Engineering,APPROVED,Graduate Research and Teaching Assistant,2020,N/A,11,Meriem,Bettayeb
678,0000-0002-3114-9727,0000-0002-3114-9727,Grenoble Ecole de Management,APPROVED,Affiliate Professor,2017,N/A,40,Aurelio,RAVARINI
679,0000-0001-5831-5441,0000-0001-5831-5441,University of Milano-Bicocca,APPROVED,Assistant professor,2016,N/A,55,marco,marelli
