"Unnamed: 0","ORCID ID","Given_Name","Family_Name","Role","Keywords","Organization","H Index","Citations"
826,"0000-0002-6531-8947","Marzieh","Samadi Foroushani","","Nessuna","Tehran Disaster Mitigation and Management Organization",5,106
827,"0000-0003-0634-4384","Hector","Zenil","","algorithmic information dynamics, causality, machine learning, AI, cellular automata, randomness, epistemology","Associate Professor @ King’s College London & AI Advisor @ The Alan Turing Institute",40,4095
829,"0000-0002-4315-4347","Haitham","Elmarakeby","","Machine Learning, Natural Language processing, Genomics, Cancer discovery","Al-Azhar University",18,2424
830,"0000-0002-1891-3719","Pedro","Berjano","","Nessuna","IRCCS Istituto Ortopedico Galeazzi, Milan (I)",37,4616
831,"0000-0003-1169-0978","Berta","Chulvi","Senior R&D Psychologist ","Nessuna","Symanto Research",19,1278
832,"0000-0001-6094-6584","Jiang","He","","Nessuna","Professor and Joseph S. Copes, M.D. Chair in Epidemiology, Tulane University",158,171823
833,"0000-0002-4708-3179","Alessandro","Guidi","","Nessuna","Professore di Preistoria e Protostoria Università Roma Tre",25,2919
834,"0000-0001-8401-2516","Zhiguo","Cao","","Nessuna","Huazhong University of Science and Technology",53,10709
835,"0000-0003-4519-7030","Martin","Scharm","","Nessuna","CODE AHOI",11,778
836,"0000-0002-9701-1851","Tomas","Radivoyevitch","Associate Staff","Nessuna","Cleveland Clinic",44,7171
837,"0000-0002-9818-6821","Stefano","Di Corato","","Nessuna","Institute of Nanotechnology CNR-NANOTEC",6,156
838,"0000-0001-7581-8497","Olexandr","Isayev","Carl and Amy Jones Professor of Chemistry","machine learning, deep learning, molecular modeling, theoretical chemistry","Carnegie Mellon University",46,15620
839,"0000-0001-5411-9400","Domenico","Compagnone","","Nessuna","","",""
840,"0000-0002-6106-1347","Linda","Rieswijk","","Nessuna","Maastricht University",15,2572
841,"0000-0003-3653-1906","Tomáš","Helikar","Associate Professor","Nessuna","University of Nebraska - Lincoln",27,2872
842,"0000-0002-6414-0358","Massimo","Magagnoli","","Nessuna","","",""
843,"0000-0003-2208-9117","Thomas","Grubb","","Nessuna","","",""
844,"0000-0003-0852-1954","Richard","Meier","","Nessuna","University of California, Santa Barbara",187,235977
845,"0000-0002-2386-8510","Anatoly","Chernyshev","","Nessuna","","",""
846,"0000-0003-3157-4309","Bin-Bin","Hu","","Nessuna","Postdoc, University of Groningen, the Nethelands",12,442
847,"0000-0002-5071-0161","Alexey","Petrovsky","Head of Department","Nessuna","Federal Research Center “Computer Science and Control”, Russian Academy of Sciences",47,9136
848,"0000-0002-3445-5711","Luc","Van Gool","","Nessuna","professor computer vision INSAIT Sofia University, em. KU Leuven, em. ETHZ, Toyota Lab TRACE",197,241605
849,"0000-0002-0196-7534","maarten joost","de vos","Orthopaedic Surgeon","Nessuna","Tergooi Hospital","",""
850,"0000-0001-7597-0579","Twan","van Laarhoven","Assistant Professor","Nessuna","Radboud University Nijmegen",16,2630
851,"0000-0001-5723-3700","DANILO","PORRO","Docenti di ruolo di Ia fascia","BIOTECNOLOGIE INDUSTRIALI, LIEVITI","Universita' di Milano Bicocca",48,9612
852,"0009-0004-3881-4752","Marko","Subasic","Medical Doctor","Nessuna","Clinical Center of Vojvodina",22,1324
853,"0000-0002-5827-0826","Avantika","Lal","Principal AI Scientist ","Genomics, Machine Learning, Functional Genomics, Deep Learning","Genentech",11,673
854,"0000-0003-3124-2152","Adib","Rastegarnia","","Computer Networks, Software Defined Networking, Internet of Things, Wireless Networks","Purdue University",8,194
855,"0000-0002-3330-783X","Wangmeng","Zuo","","Nessuna","School of Computer Science and Technology, Harbin Institute of Technology",105,68501
856,"0000-0001-5371-0776","Bhagya","Wijayawardena","","Nessuna","PhD student, Purdue University",9,525
857,"0009-0004-7626-8131","Caterina","Fregosi","PhD","Nessuna","University of Milano-Bicocca",1,3
858,"0000-0001-5305-8044","Denis","Shepelev","","Nessuna","PhD, Senior Researcher at AIRI",4,109
859,"0000-0003-4926-3672","Arjan","Gijsenij","","Nessuna","AkzoNobel Decorative Coatings",20,4066
860,"0000-0003-2557-8338","Jue","Wang","","Nessuna","Hohai University",80,32503
861,"0000-0003-3035-1365","Alex","Savchik","Stazher-issledovatel'","Nessuna","Institut problem peredachi informatsii imeni A A Kharkevicha RAN",7,161
862,"0000-0001-6188-6413","Erica","Tavazzi","","Disease progression modeling, Machine learning, Process mining, Missing data imputation","Università degli Studi di Padova",12,460
863,"0000-0003-1121-9908","Valerio Maria","Caccavella","Resident","Orthopaedics and Traumatology, Spinal surgery, Machine Learning","Istituto Ortopedico Gaetano Pini","",""
864,"0000-0003-2563-7561","Steffen","Klamt","","Nessuna","Max Planck Institute for Dynamics of Complex Technical Systems, Magdeburg",52,12236
865,"0000-0002-3225-4203","Aritro","Nath","Assistant Professor","Nessuna","City of Hope National Medical Center",15,1498
866,"0000-0002-0279-6351","Maximilien","de Bayser","","Nessuna","IBM Research Brazil",6,178
867,"0000-0001-5484-0994","Francesca","Guerriero","Borsista","Nessuna","Università degli Studi di Napoli Federico II",44,7899
868,"0000-0002-8742-6623","Maxime","Guériau","","Nessuna","Assistant Professor at INSA Rouen Normandie",14,1162
869,"0000-0002-2504-2608","SY-YEN","KUO","","Nessuna","National Taiwan University",55,13480
870,"0000-0003-2426-8258","Andrew","Finney","","Nessuna","Reader in Human Geography, University of St Andrews, UK",24,2784
871,"0000-0002-2797-6914","Mauro","Castelli","","Nessuna","Istituto Regina Elena",39,6977
872,"0009-0008-0800-1709","Katarzyna","Materka","Manager","cloud computing, multi-cloud, machine learning","7Bulls (Melodic Cloud)","",""
873,"0000-0002-0248-2168","Amogh","Joshi","Cardiovascular Disease Fellow ","Nessuna","Lehigh Valley Health Network",8,239
874,"0000-0002-5281-6410","David","Tolnay","","Nessuna","","",""
875,"0000-0002-2507-3172","Seungpyo","Hong","","Nessuna","Milton J. Henrichs Chair Professor at University of Wisconsin - Madison",54,21387
876,"0000-0002-2318-3589","Fabien","Reyal","","Nessuna","Institut Curie. Department of Surgery",53,11715
877,"0000-0002-1654-4155","Alireza","Mazaheri","","Nessuna","","",""
878,"0000-0003-4137-2858","Jordi","Abante Llenas","Postdoctoral Researcher","Nessuna","Universitat de Barcelona",7,493
879,"0000-0003-4011-8487","Yuichiro","Inagaki","","Nessuna","みずほ情報総研株式会社",8,285
880,"0009-0002-2165-3003","Yash","Deshpande","","Nessuna","Vellore Institute of Technology University",14,1272
881,"0000-0001-8468-2050","Sigve","Nakken","Scientist","cancer genomics, clinical bioinformatics, computational biology, systems pharmacology","Oslo University Hospital",24,3847
882,"0000-0003-2037-167X","Chunxia","Lei","","Nessuna","","",""
883,"0000-0002-9253-7838","david","falcao","Professor Adjunto","Nessuna","Instituto Politecnico de Castelo Branco",5,118
884,"0009-0009-1143-2996","Antonio","Martini","","Nessuna","Professor at University of Oslo",33,2951
885,"0000-0003-2209-7504","Daniel","Ashlock","","Nessuna","Unknown affiliation",33,5935
886,"0000-0002-4517-0391","Lai-Kuan","Wong","Associate Professor","Nessuna","Multimedia University",14,776
887,"0009-0006-4569-4693","Dohoon","Ryu","","Nessuna","SK Group (South Korea)",5,598
888,"0000-0001-5283-8671","Luisa","Castagnoli","Full Professor","Nessuna","University of Rome Tor Vergata",53,13493
889,"0000-0002-2145-4998","jiajun","xiao","","Nessuna","Fudan University School of Basic Medical Sciences","",""
890,"0000-0001-9791-7613","Tzofi","Klinghoffer","","Nessuna","Massachusetts Institute of Technology",7,190
891,"0000-0003-0001-0295","Cliff","Shaffer","Professor","Nessuna","Virginia Polytechnic Institute and State University",42,5866
892,"0000-0002-4502-4925","Chenchen","Xu","","Nessuna","PhD candidate, Australia National University",11,568
893,"0000-0002-0240-1065","Norimichi","Ukita","","Nessuna","Toyota Technological Institute",33,8178
894,"0000-0002-5666-3802","Anna","Zhukova","","Nessuna","Institut Pasteur",13,1804
895,"0000-0002-7491-6746","Qi Qi Qi","Zhang","","Nessuna","Shanghai Jiao Tong University",140,160192
896,"0000-0002-9840-4964","Scott Donald","Patterson","Vice President, Biomarker Sciences & Diagnostics","Nessuna","Gilead Sciences, Inc","",""
897,"0000-0002-7528-5392","Bomin","Wang","","pelvic fracture","Fudan University",4,126
898,"0000-0001-8934-5301","Jeffrey","Sorensen","","Nessuna","Google",36,6412
899,"0000-0002-8488-5437","Antonio","Marsico","Senior Consultant","Nessuna","Reply (Italy)",6,75
900,"0000-0002-1171-9876","Martin","Kuiper","Professor in Systems Biology","Semantic Web, Systems Biology, Enabling technology, Software development","Norwegian University of Science and Technology ",47,41682
901,"0000-0001-7842-8590","Harry","Gray","Executive Chair","Nessuna","Wellness Grove CIC",152,94651
902,"0000-0002-3306-3142","Chongxing","Song","","Nessuna","Chongqing University",74,21154
903,"0009-0007-5742-0929","Vasco","Coelho","","Nessuna","People Management | Employee Experience | Organizational Development | Growth | Innovation",4,142
904,"0000-0001-5642-8303","Denis","Fourches","","Cheminformatics; Molecular Modeling; QSAR; 3D docking; Molecular Dynamics; Virtual Screening","","",""
905,"0000-0002-2692-7205","Jaume","Bacardit","Professor of Artificial Intelligence","Data Mining, Machine Learning, Bioinformatics, Big Data","Newcastle University",40,7690
906,"0000-0002-4073-8259","Erika","Tenderini","","Nessuna","","",""
907,"0000-0001-9019-1282","Daniele","Peluso","","Nessuna","Department of Biology, University of Rome ""Tor Vergata""",12,4690
908,"0000-0002-2555-075X","satwinder","singh","","Nessuna","University of Dubai",58,11811
909,"0000-0003-3678-7303","Xingguang","Zhou","","Nessuna","","",""
910,"0000-0003-0166-3802","Christina","Curtis","Professor of Medicine & Genetics","Nessuna","Stanford University",54,29375
911,"0000-0002-7491-0395","Chaoxiong","Wu","","Nessuna","Xidian University",8,449
912,"0000-0002-4165-6554","Hongyu","Zhao","","Nessuna","Yale University",119,55919
913,"0009-0003-0948-1867","Leonard","Harris","","Nessuna","University of Arkansas, Department of Biomedical Engineering",20,1886
914,"0000-0003-4867-228X","Zhiyuan","Hu","","Nessuna","NCNST JHMI ISB",38,6531
915,"0000-0001-7002-6386","Lucian","Smith","","Nessuna","University of Washington",22,5877
916,"0000-0003-2881-9141","Stephen","Friend","","Nessuna","4YouandMe and Oxford University",84,78639
917,"0000-0001-5898-0310","Chieh","Lin","","Nessuna","Xidian University",70,17560
918,"0000-0003-3913-5810","Roman","Nesterov","","Nessuna","National Research University ""Higher School of Economics""",6,71
919,"0000-0002-6291-6175","Christian","Knüpfer","","Nessuna","Friedrich-Schiller-Universität Jena",7,739
920,"0000-0002-4480-6095","Ming-Mei","Shang","","Nessuna","Karolinska Institutet",12,655
921,"0000-0003-1342-5908","Daniele","Bellavia","","Nessuna","","",""
922,"0000-0003-3099-9479","Sunkyu","Kim","","Nessuna","AIGEN Sciences Inc.",17,7379
923,"0009-0000-9291-4333","HUGO","GAMBOA","","Nessuna","Center for Research and Advanced Studies of the National Polytechnic Institute",32,3983
924,"0000-0003-4201-1050","Liuhan","Peng","","Nessuna","Unknown affiliation",4,107
925,"0000-0001-7017-7352","yiping","zeng","","Nessuna","Associate Professor, Melbourne Institute of Applied Economic and Social Research, University of",25,1786
926,"0000-0003-2633-9822","Gianluca","Castelnuovo","","clinical psychology, psychotherapy, obesity, eating disorders, telecare, e-health, mHealth, telemedicine","Università Cattolica del Sacro Cuore",60,16389
927,"0000-0001-6859-9310","Haoran","Chen","","Nessuna","St. Jude Children's Research Hospital",7,1445
928,"0000-0002-4431-0671","Jinshan","Pan","","Nessuna","KTH Royal Institute of Technology",54,16578
929,"0000-0002-5551-4741","FABRIZIO","SCHETTINI","","Nessuna","LIUC","",""
930,"0000-0002-2372-5552","Shangchen","Zhou","","Nessuna","Nanyang Technological University",26,4059
931,"0000-0002-7684-0079","Benjamin","Haibe-Kains","","Nessuna","Scientist (Principal Investigator), Princess Margaret Cancer Centre, University Health Network",89,38287
932,"0000-0002-4427-2978","Zhendong","Wang","","Nessuna","Retired",29,2443
933,"0000-0003-2434-4716","Motoki","Shiga","Chief Invited Researcher","Nessuna","National Institute for Materials Science",19,1683
934,"0000-0001-5031-1016","Finja","Wrzodek","","Nessuna","Researcher at Center for Bioinformatics Tuebingen (ZBIT), University of Tuebingen, Tübingen, Germany",13,1320
935,"0000-0001-5371-1867","Pengfei","Wan","","Nessuna","Head of Visual Generation and Interaction Center, Kuaishou Technology",22,2151
936,"0000-0002-7554-8770","Ling-Hao","Han","","Nessuna","Nankai University",9,761
937,"0000-0003-0511-5133","Valentina","Lenarduzzi","Assistant Professor (Tenure Track)","Nessuna","University of Oulu",35,4421
938,"0000-0002-2432-2026","chunle","guo","","Nessuna","Nankai University",25,7418
939,"0000-0002-3746-9676","Ion","Moraru","","Nessuna","Professor of Cell Biology, University of Connecticut School of Medicine",29,4457
940,"0009-0000-4749-2848","lishan","huang","","Nessuna","Professor of Statistics, National tsing Hua University, TAIWAN",34,5263
941,"0000-0001-5257-758X","Yi","Xiao","","Nessuna","North Carolina State University",59,16849
942,"0000-0002-5404-4290","Dries","Van Daele","","Nessuna","","",""
943,"0000-0003-1933-7706","Samuel","Finlayson","Postgraduate","Nessuna","University of Bristol",45,7854
944,"0000-0002-5886-5563","Dagmar","Waltemath","Professor of Medical Informatics","COMBINE standards, FAIR Health data, research data management, graph databases","Universitätsklinikum Greifswald",25,2877
945,"0000-0003-4584-8526","Chenghua","Li","","Nessuna","Unknown affiliation",13,618
946,"0000-0001-7743-9968","Dejun","Hao","","Nessuna","Nanjing Forestry University","",""
947,"0000-0002-6542-8089","MARTINA","MATTIOLI","","Nessuna","Università Ca' Foscari, Politecnico di Torino",1,14
948,"0000-0001-8734-8605","Si","Yi","","Nessuna","Virginia Tech",50,10742
949,"0000-0002-9156-2759","DENIS","Bertrand","","Nessuna","Head of bioinformatics, SeqOne",31,10646
950,"0000-0003-1556-6296","Jacopo","Talpini","","Nessuna","University of Milano-Bicocca",3,11
951,"0000-0002-6695-2157","Jaejoon","Choi","PostDoc Fellow","Nessuna","Harvard Medical School",0,"NA"
952,"0000-0003-1679-9120","Xihui","Lin","","Nessuna","Microsoft",10,1367
953,"0000-0003-0301-9201","Sam","Sinai","","Nessuna","Icahn School of Medicine at Mount Sinai",99,52054
954,"0000-0002-1642-7493","Kimberly","Begley","Managing Director, Chronic Pain Network ","Nessuna","McMaster University","",""
955,"0000-0002-4212-9844","Riccardo","SARTORI","Associate Professor ","Nessuna","University of Verona",38,4571
956,"0000-0003-0380-6571","Mauro","Dragoni","","Nessuna","Head of the Intelligent Digital Agents Research Group at Fondazione Bruno Kessler.",30,3102
957,"0000-0001-7643-8373","Nikolay","Nikolov","","Nessuna","Space Telescope Science Institute (STScI)",49,9231
958,"0000-0002-7163-4663","Alexey","Zakharov","","Nessuna","Kazan Federal University",41,7956
959,"0000-0001-5752-3193","Sheng-sheng","Wang","","Nessuna","Unknown affiliation",2,15
960,"0000-0001-9177-0489","M. Furkan","Kirac","","Nessuna","Assistant Professor at Ozyegin University, Department of Computer Science",15,1677
961,"0009-0004-2735-4498","Yiyun","Zhao","","Nessuna","University of Glasgow",11,574
962,"0000-0001-7749-7295","Pawel","Skrzypek","","Nessuna","AI Investments.pl",8,218
963,"0000-0002-3356-3542","Sarah","Keating","","Nessuna","University College London",25,9973
964,"0000-0002-5759-3017","GIORGIO","GIACINTO","","Nessuna","Professor, University of Cagliari",55,12731
965,"0000-0002-8788-9548","Evert","Bosdriesz","","Systems biology, Computational biology, Cancer , Single cell, Network modelling","Vrije Universiteit Amsterdam",12,1022
966,"0000-0002-9363-9705","Michael","Blinov","","Nessuna","University of Connecticut Health Center",26,5308
967,"0000-0002-0324-3847","Daniele","Santoro","","Nessuna","Professora Associada, Escola Paulista de Medicina-Universidade Federal de São Paulo (EPM/UNIFESP)",27,2682
968,"0000-0003-2572-2934","Chaoyu","Feng","","Nessuna","Unknown affiliation",14,556
969,"0000-0002-4798-5375","Ji","Park","","Nessuna","Department of Bio and Brain Engineering, KAIST",55,16930
970,"0000-0002-0068-7151","Yongdeuk","Hwang","","Nessuna","School of biological sciences, Seoul national university",5,409
971,"0000-0002-0245-4909","CHRISTOPH","KURZ","","Nessuna","Department of Radiation Oncology, LMU University Hospital, LMU Munich",30,2788
972,"0000-0002-2012-0849","Rajiv","Movva","","Nessuna","Cornell",7,310
973,"0000-0003-3123-4136","Naoki","Tanimura","","Nessuna","","",""
974,"0000-0003-0987-6626","fred","shapiro","Associate Professor in Anesthesia, Harvard Medical School","Nessuna","Massachusetts Eye and Ear Infirmary",66,18780
975,"0000-0001-6072-6717","George","Tomlinson","","Nessuna","University Health Network/University of Toronto",115,57322
976,"0000-0003-3434-9967","Debin","Zhao","","Nessuna","Dept. of Computer Science,Harbin Institute of Technology",58,15451
977,"0000-0002-1274-5099","Rainer","Machne","PostDoc","Nessuna","Northeastern University",29,6349
978,"0000-0003-2527-8909","Shuxin","Chen","","Nessuna","nanyang technological university",14,1020
979,"0000-0002-7287-5223","Giuseppe","Serra","","Nessuna","Sardegna Ricerche",32,5912
980,"0000-0001-5770-8577","Jian-Jian","Cheng","","Nessuna","","",""
981,"0000-0002-9192-6583","Furkan","Kınlı","Research Assistant","Nessuna","Özyeğin University",8,186
982,"0000-0001-8308-645X","Song","Liu","","Nessuna","Professor of Oncology & Vice Chair, Roswell Park Comprehensive Cancer Center",60,16690
983,"0000-0003-2345-8586","Nimrod","Morag","Data Scientist","Nessuna","Way2VAT",3,48
984,"0000-0002-6062-139X","Adrián","Santos","","Nessuna","aluno gastronomia",132,106371
985,"0000-0003-3585-0593","Kevin","Chen","","Nessuna","Hong Kong University of Science and Technology",77,30442
986,"0000-0002-3106-2111","Yang-Yang","Wang","","Nessuna","University of Missouri",5,48
987,"0000-0002-4186-8506","Conor","Lawless","","Nessuna","Newcastle  University",24,3688
988,"0000-0002-1479-5399","Bosheng","Song","","Nessuna","Associate Professor, Hunan University",27,2031
989,"0000-0002-3651-8704","HaoQian","Wang","","Nessuna","Tsinghua University",34,4512
990,"0000-0002-3659-6817","Herbert","Sauro","Professor","Systems Biology Synthetic Biology","University of Washington",55,15555
991,"0000-0003-3973-619X","Kanti","Kumari","","Nessuna","","",""
992,"0000-0002-0949-046X","Narsis","Kiani","","Nessuna","Karolinska Institutet",27,2830
993,"0000-0001-8512-5029","leonardo","mariani","","Nessuna","University of Milano - Bicocca",35,4917
994,"0000-0002-5474-6874","Chi-Hao","Wu","","Nessuna","University of Southern California",14,870
995,"0000-0002-0750-0628","Haiwei","Li","","Nessuna","Huawei Noah's Ark Lab, Columbia, CUHK, PKU",58,15891
996,"0000-0002-5092-6640","Krishna","Bulusu","Director","Nessuna","AstraZeneca UK Ltd",18,2240
997,"0000-0002-7403-7039","Luca","Denti","","Nessuna","DISCo - University of Milano - Bicocca",8,162
998,"0000-0003-1122-4491","Woo Yun","Lee","","Nessuna","Principal researcher of KRISS",22,1761
999,"0000-0003-0084-7554","Chen Chen","Yang","","Nessuna","PhD student of Computer Graphics Technology, Purdue University",127,117929
1000,"0000-0001-6846-1303","Jose","Camacho","","Nessuna","Porfesor de Curriculo, institución universitaria Antonio Jose Camacho",51,10811
1001,"0000-0001-7942-0806","Yue","Lu","","Nessuna","Massachusetts Institute of Technology",36,9330
1002,"0000-0003-0855-1387","Boaz","Arad","CTO","Nessuna","Voyage 81",8,1631
1003,"0000-0002-5798-1642","francesca","ricci","","Nessuna","Università di Bologna",86,45078
1004,"0000-0001-7478-407X","Yuqian","Zhou","","Nessuna","Research Scientist at Adobe",27,4004
1005,"0000-0001-5149-6091","Mel","Krokos","","Nessuna","","",""
1006,"0000-0002-3436-9645","Inês","Neves","","Nessuna","Royal Veterinary College, University of London",5,86
1007,"0000-0002-9262-7569","ganapathy","krishnamurthi","","Nessuna","Associate Professor at IIT-Madras",30,8128
1008,"0000-0001-9994-2636","TIANTONG","GUO","","Nessuna","Penn State",16,3244
1009,"0000-0002-2023-2912","Mathew","Stiller-Reeve","","Nessuna","Freelance educator, researcher, and consultant",11,381
1010,"0000-0002-0944-9598","Davide","Badalotti","","Nessuna","Bocconi University",3,76
1011,"0000-0002-1167-3142","zhiwei","Xiong","","Nessuna","University of Science and Technology of China",50,9254
1012,"0000-0003-3367-2519","Bissan","Al-Lazikani","Professor, Director of Therapeutics Data Science","cancer, data science, drug discovery, drug targets","The University of Texas MD Anderson Cancer Center",42,20044
1013,"0000-0001-6152-4164","Anna","Stefan","","Nessuna","University of Łódź ",20,3339
1014,"0000-0003-1540-4158","Shanfeng","Zhu","","Nessuna","Professor, Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University",35,4972
1015,"0009-0007-6206-9803","xiaotong","huang","","Nessuna","Professor of Engineering Mechanics, Swinburne University of Technology",59,13462
1016,"0000-0003-3694-4006","Mohammad Taher","Pilehvar","","Nessuna","Cardiff University / TeIAS / Cambridge",33,5355
1017,"0000-0003-2817-6107","Lin-Lin ","Zhang","","Nessuna","","",""
1018,"0000-0003-4318-9053","Richard","Newton","","Nessuna","Lecturer at University of Stirling",21,2628
1019,"0000-0003-3593-7875","ANDREAS","SERAPHIM","","Nessuna","Medico in formazione specialistica, Università di Padova",1,5
1020,"0000-0003-3677-7850","KONSTANTINOS","ZOGRAFOS","Professor","Statistical Information Theory, Multivariate Statistics, Parametric Statistical Inference, Measures of Association and Dependence, Statistical Distributions, Analysis of Categorical Data","University of Ioannina",21,2144
1021,"0000-0002-1201-3939","Luciano","Milanesi","Associated as Research Director","Bioinformatics, Genomics, System Biology","National Research Council - Institute of Biomedical Tecgnology (CNR-ITB)",46,8783
1022,"0000-0002-8112-5029","Yoav","Bar Am","","Nessuna","","",""
1023,"0000-0002-4836-794X","Abdelrahman","Abdelhamed","","Nessuna","Chemistry Department, Faculty of Science, Benha University, Egypt",23,2332
1024,"0000-0001-9412-6867","Dezso","Modos","Research Fellow","Nessuna","Imperial College London",16,1637
1025,"0000-0002-7276-9009","Jeremy","Zucker","","Nessuna","Pacific Northwest National Laboratory",31,20069
1026,"0009-0003-1280-5623","Vatsal","Sharan","","Nessuna","Stanford University",16,639
1027,"0000-0002-4186-4986","Ting-Ting","Liu","","Nessuna","","",""
1028,"0000-0001-9579-7267","Thomas Michael","Hamm","","Nessuna","","",""
1029,"0000-0001-7725-6176","Sebastian","Sauer","","Nessuna","Ansbach University of Applied Sciences",28,3469
1030,"0000-0002-0396-0256","Fedor","Kolpakov","","Nessuna","Biosoft.Ru",25,6582
1031,"0000-0003-2357-6785","Bernhard","Palsson","","Nessuna","Bioengineering and Pediatrics, UC-San Diego",177,123702
1032,"0000-0003-4686-4560","Christopher","Yau","","Nessuna","University of Oxford",41,9938
1033,"0000-0003-4139-1928","Marco","CREMASCHI","Full Professor","Nessuna","SciencesPo",17,1254
1034,"0000-0003-1771-6067","Eugenio","Montini","","Nessuna","","",""
1035,"0000-0003-1598-8317","Federica","Filippini","","Nessuna","Politecnico di Milano (Italy)",6,53
1036,"0000-0003-1455-5675","Leila","Askari","","Nessuna","Telco Cloud Engineer | PhD in Telecommunications",8,152
1037,"0000-0002-6607-5617","Hiroshi","Mamitsuka","Professor","Machine learning, Bioinformatics, Artificial Intellilgence, Graph Learning, Systems Biology","Kyoto University","",""
1038,"0000-0002-4321-4557","Marko","Subašić","","Nessuna","University of Zagreb Faculty of Electrical Engineering and Computing",22,1324
1039,"0009-0003-9368-1094","Jafar","Jamal","","Nessuna","Associate Professor, PG and Research Department of Chemistry, Jamal Mohamed College, Trichy, TN",21,1403
1040,"0000-0001-8396-2050","Jing-Jing ","Li","","Nessuna","Centre for Health Economics, Monash University",8,1945
1041,"0000-0002-6783-710X","Eliana","La Rocca","MD","Nessuna","Fondazione IRCCS Istituto Nazionale dei Tumori",9,327
1042,"0000-0001-8127-609X","James","Faeder","","Nessuna","University of Pittsburgh",51,9028
1043,"0000-0002-8991-4305","Wei-Wei","Zhang","","Nessuna","Yangtze University",21,2062
1044,"0000-0001-5093-7932","Lorenzo","Rovida","","Nessuna","PhD Student, University of Milano-Bicocca (Italy)",3,22
1045,"0000-0002-5975-9260","Masato","Tsukada","","Nessuna","","",""
1046,"0000-0001-5576-5412","Elena Maria","Elli","","Nessuna","Hematology Division,  San Gerardo Hospital, Monza",30,4307
1047,"0000-0002-0704-5960","Daniele","Baieri","PhD Student","Nessuna","Università degli Studi di Roma La Sapienza",3,31
1048,"0000-0001-8739-8960","Se Young","Chun","Associate Professor","Nessuna","Seoul National University",35,3340
1049,"0000-0002-3864-9513","huiyuan","chen","","Nessuna","Visa Research",21,1479
1050,"0000-0003-4408-6523","Wouter","Tavernier","Assistant Professor","network reliability, software-defined networking, deterministic networking","Ghent University",21,1628
1051,"0000-0002-3022-3497","Silvio","Cretti","","Nessuna","","",""
1052,"0009-0004-3522-3607","Adriana","Blanda","","Nessuna","Biostatitian",4,64
