,ORCID ID,ORCID_ID,Organization,Status,Role_Title,Start_Date,Keywords,Number_of_Works,Given_Name,Family_Name
161,0000-0001-9429-6401,0000-0001-9429-6401,Delft University of Technology,APPROVED,,N/A,"Airline operations, Operations research, Aircraft maintenance planning, Disruption management, Decision support, Machine learning, Scheduling, Sustainable operations",65,Bruno F.,Santos
162,0000-0002-8481-6079,0000-0002-8481-6079,Fraunhofer AICOS,APPROVED,Senior Scientist,2024,"Time Series, Explainable Artificial Intelligence, Machine Learning, Deep Learning, Signal Processing",41,Duarte,Folgado
163,0000-0002-9417-660X,0000-0002-9417-660X,Gran Sasso Science Institute,APPROVED,Postdoc,2018,N/A,0,Martina,De Sanctis
164,0000-0002-8812-9719,0000-0002-8812-9719,TU Wien,APPROVED,,N/A,N/A,3,Diana,Marin
165,0000-0002-4308-5126,0000-0002-4308-5126,N/A,APPROVED,N/A,N/A,N/A,6,Umberto,Ferraro Petrillo
166,0000-0001-7359-5410,0000-0001-7359-5410,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,APPROVED,Head ,2021,N/A,196,Ornella,Garrone
167,0000-0002-7811-3377,0000-0002-7811-3377,University of Milan,APPROVED,Associate Professor,2021,"non coding RNA, prostate cancer, cancer associated fibroblasts, long non coding RNA, microRNA",71,Paolo,Gandellini
168,0000-0001-9333-7101,0000-0001-9333-7101,Vrije Universiteit Amsterdam,APPROVED,,N/A,N/A,81,Ilias,Gerostathopoulos
169,0000-0002-4417-4868,0000-0002-4417-4868,N/A,APPROVED,N/A,N/A,N/A,0,Timur,Temizer
170,0000-0001-9918-7079,0000-0001-9918-7079,Università degli Studi di Milano-Bicocca,APPROVED,Ricercatore a tempo determinato tipo B,2021,"coralligeno, mediterraneo, quaternario, habitat mapping, paleoecologia",48,VALENTINA ALICE,BRACCHI
171,0000-0002-8148-1621,0000-0002-8148-1621, Faculty of Sciences ,APPROVED,Associate professor,2020,"machines learning, deep learning, images classification, pattern recognition",77,Ridha,Ejbali
172,0000-0002-5193-6218,0000-0002-5193-6218,Gran Sasso Science Institute,APPROVED,Postdoc researcher,2022,"Software Engineering, Software Testing, Software Architecture, Formal Verification, Robotics",20,Luciana,Brasil Rebelo dos Santos
173,0000-0001-7373-5591,0000-0001-7373-5591,Institut Jožef Stefan,APPROVED,Deputy Head of department,1996,"artificial intelligence, machine learning, natural language processing, data mining, research policy, digital twins",9,Marko,Grobelnik
174,0000-0003-1671-1977,0000-0003-1671-1977,N/A,APPROVED,N/A,N/A,N/A,36,Roberto,Menè
175,0000-0002-9549-2540,0000-0002-9549-2540,Southeast Missouri State University,APPROVED,Assistant Professor,2023,"Wireless Sensor Networks, Sensor Cloud, Fog Computing , Routing Protocol in WSNs",89,Ihsan,Ali
176,0000-0002-9472-3431,0000-0002-9472-3431,"University of the Witswatersrand, Johannesburg",APPROVED,Senior Lecture,2008,N/A,52,Davide,CROCE
177,0000-0003-3088-6132,0000-0003-3088-6132,Università della Svizzera italiana,APPROVED,PhD Candidate,2022,N/A,8,Leonardo,Alchieri
178,0009-0009-2492-8974,0009-0009-2492-8974,N/A,APPROVED,N/A,N/A,N/A,8,Federica,Malighetti
179,0000-0003-3620-3494,0000-0003-3620-3494,N/A,APPROVED,N/A,N/A,N/A,0,ROBERTA,GARBO
180,0000-0003-3657-106X,0000-0003-3657-106X,Università Cattolica del Sacro Cuore ,APPROVED,Full Professor,N/A,"virtual reality, eating disorders, stress management, anxiety disorders, presence, telepresence, social networks, positive technology",737,Giuseppe,Riva
181,0000-0003-0449-9569,0000-0003-0449-9569,N/A,APPROVED,N/A,N/A,N/A,6,Alessio,Cirillo
182,0009-0004-7619-8399,0009-0004-7619-8399,N/A,APPROVED,N/A,N/A,N/A,2,Marco,Braga
183,0009-0007-0154-0884,0009-0007-0154-0884,N/A,APPROVED,N/A,N/A,N/A,4,Giorgia,Gandolfi
184,0000-0003-4376-1697,0000-0003-4376-1697,N/A,APPROVED,N/A,N/A,N/A,10,ARIANNA,FEDELI
185,0000-0002-5357-2374,0000-0002-5357-2374,Delft University of Technology,APPROVED,,N/A,N/A,15,Heba,Abunahla
186,0000-0001-5023-0435,0000-0001-5023-0435,Trinity College Dublin,APPROVED,,N/A,N/A,24,Sam,Cromie
187,0000-0002-6983-4818,0000-0002-6983-4818,Università degli Studi di Salerno,APPROVED,Associate Professor,1998,N/A,58,Giuseppe,Cattaneo
188,0000-0002-9411-2526,0000-0002-9411-2526,N/A,APPROVED,N/A,N/A,N/A,1,Gabriel,Cerono
189,0000-0002-0330-1963,0000-0002-0330-1963,N/A,APPROVED,N/A,N/A,N/A,0,Sandra,Scott-Hayward
190,0000-0003-4811-9345,0000-0003-4811-9345,N/A,APPROVED,N/A,N/A,N/A,23,Giulia,Carosi
191,0000-0001-6648-1917,0000-0001-6648-1917,N/A,APPROVED,N/A,N/A,N/A,20,Vera,Colombo
192,0000-0002-2837-1853,0000-0002-2837-1853,N/A,APPROVED,N/A,N/A,N/A,45,Felipe,Soares
193,0000-0002-7427-1001,0000-0002-7427-1001,University of Glasgow,APPROVED,,N/A,N/A,92,NICOLA,TONELLOTTO
194,0000-0002-9861-4013,0000-0002-9861-4013,N/A,APPROVED,N/A,N/A,N/A,2,Farooq,Zaman
195,0000-0002-8889-7857,,,TO CHECK,,,,,,
196,0000-0002-5276-7030,0000-0002-5276-7030,N/A,APPROVED,N/A,N/A,N/A,9,Alberto,Zancanaro
197,0000-0002-0625-4453,0000-0002-0625-4453,"Universita` degli Studi di ROMA ""La Sapienza""",APPROVED,Docenti di ruolo di Ia fascia,2010,N/A,0,Tiziana,Ferrante
198,0000-0002-5652-7739,0000-0002-5652-7739,Bristol Myers Squibb Co,APPROVED,,2021,N/A,24,Michael,Mason
199,0000-0002-0527-070X,0000-0002-0527-070X,Istituto di Sistemi e Tecnologie Industriali Intelligenti per il Manifatturiero Avanzato Consiglio Nazionale delle Ricerche,APPROVED,Research fellow,2014,N/A,25,DANIELE,SPOLADORE
200,0000-0002-4844-4351,0000-0002-4844-4351,N/A,APPROVED,N/A,N/A,N/A,4,ali,mohebbi
201,0000-0002-2568-9815,0000-0002-2568-9815,IRCCS Ospedale San Raffaele,APPROVED,Scientist,2016,N/A,42,Oronza Antonietta,Botrugno
202,0000-0001-9727-6465,0000-0001-9727-6465,Ospedale San Raffaele,APPROVED,Postdoctoral researcher,2012,N/A,44,Andrea Maurizio,Cabibbe
203,0000-0002-0632-5354,0000-0002-0632-5354,N/A,APPROVED,N/A,N/A,"Healthcare Architecture, Birth Space Design, Hospital public spaces, Healthy Cities, Healthy neighborhoods",16,NICOLETTA,SETOLA
204,0000-0003-1420-981X,0000-0003-1420-981X,Akademia Gorniczo-Hutnicza im Stanislawa Staszica w Krakowie,APPROVED,Assistant professor,2014,N/A,0,Dariusz,Pałka
205,0000-0002-7566-8051,0000-0002-7566-8051,N/A,APPROVED,N/A,N/A,N/A,49,GIOVANNI,DENARO
206,0000-0002-8518-5352,0000-0002-8518-5352,IBFM-CNR,APPROVED,,2023,N/A,23,BRUNO GIOVANNI,GALUZZI
207,0000-0001-9281-9950,0000-0001-9281-9950,N/A,APPROVED,N/A,N/A,N/A,6,Zhuang,Jia
208,0000-0003-3872-9991,0000-0003-3872-9991,N/A,APPROVED,N/A,N/A,N/A,9,Alberto,Bruno
209,0000-0003-4187-4209,0000-0003-4187-4209,N/A,APPROVED,N/A,N/A,N/A,17,Andrea,Ponti
210,0000-0003-3422-5171,0000-0003-3422-5171,Politecnico di Milano,APPROVED,Full Professor,2017,N/A,122,Elisabetta,Di Nitto
211,0000-0002-0699-163X,0000-0002-0699-163X,Kuwait University,APPROVED,Assistant Professor of Bioinformatics,2014,Bioinformatics,3,Abbas,Alameer
212,0000-0001-9478-7083,0000-0001-9478-7083,Radboud University Nijmegen,APPROVED,,N/A,N/A,1,Daria,Alexander
213,0000-0003-2392-4612,0000-0003-2392-4612,N/A,APPROVED,N/A,N/A,N/A,17,Riccardo,Marin
214,0000-0002-3485-2485,0000-0002-3485-2485,University of Milan,APPROVED,,N/A,N/A,17,Riccardo,Nodari
215,0000-0002-5818-5947,0000-0002-5818-5947,N/A,APPROVED,N/A,N/A,"Submarine Geomorphology, Seafloor Mapping",80,ALESSANDRA,SAVINI
216,0000-0001-9038-9862,0000-0001-9038-9862,N/A,APPROVED,N/A,N/A,N/A,5,Sheojung,Shin
217,0000-0001-7508-7428,0000-0001-7508-7428,Ontotext Corp,APPROVED,Lead,2010,"ontology engineering, semantic web, project management, business analysis, data integration, cultural heritage, SKOS",109,Vladimir,Alexiev
218,0000-0003-4248-3875,0000-0003-4248-3875,Amrita Vishwa Vidyapeetham Amrita School of Engineering Chennai,APPROVED,Associate Professor ,2022,"Cloud Computing, Big Data Analytics , Artificial Intelligence, Machine Learning , R Programming ",65,Sountharrajan,Sehar
219,0000-0001-6647-088X,0000-0001-6647-088X,University of Trieste,APPROVED,Assistant Professor,2022,N/A,31,GIULIA,BERNARDINI
220,0000-0002-9635-2400,0000-0002-9635-2400,Università della Svizzera Italiana,APPROVED,PhD Assistant,2018,N/A,8,Arianna,Blasi
221,0000-0003-4334-7226,0000-0003-4334-7226,N/A,APPROVED,N/A,N/A,N/A,15,Husain,Poonawala
222,0000-0002-4343-6598,0000-0002-4343-6598,University of Perugia,APPROVED,Associated Professor,2000,"environmental analysis, waste managment, energy recovery, biological process",84,Francesco,Di Maria
223,0000-0002-5574-2787,0000-0002-5574-2787,INAF - Osservatorio Astrofisico di Catania,APPROVED,Tecnologo,2017,N/A,100,Eva,Sciacca
224,0009-0009-3553-1198,0009-0009-3553-1198,N/A,APPROVED,N/A,N/A,N/A,1,Enrico,Galimberti
225,0000-0001-6650-3784,0000-0001-6650-3784,N/A,APPROVED,N/A,N/A,N/A,11,Shkurta,Gashi
226,0000-0002-6862-7593,0000-0002-6862-7593,N/A,APPROVED,N/A,N/A,N/A,72,Paolo,Barsocchi
227,0000-0001-2345-6789,,,TO CHECK,,,,,,
228,0000-0001-5900-811X,0000-0001-5900-811X,IRCCS Istituto Auxologico Italiano,APPROVED,Director,2024,N/A,177,Marco,Stramba-Badiale
229,0000-0002-1973-8916,0000-0002-1973-8916,Università degli Studi di Milano-Bicocca,APPROVED,Senior Assistant Professor (RTDb),2021,N/A,0,ANDREA,MANGIATORDI
230,0000-0002-9723-9063,0000-0002-9723-9063,Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie – Hans-Knöll-Institut,APPROVED,Post-doctoral researcher,2012,N/A,24,Carl-Magnus,Svensson
231,0000-0002-4652-901X,0000-0002-4652-901X,Clausthal University of Technology,APPROVED,Research Assistant/PhD Candidate,2016,N/A,20,Tobias,Ahlbrecht
232,0000-0002-6063-4975,0000-0002-6063-4975,Politecnico di Milano,APPROVED,Associate Professor,2022,N/A,93,Gianni,Antichi
233,0000-0002-5438-9467,0000-0002-5438-9467,Università degli Studi di Milano,APPROVED,Full Professor,2006,"cloud security, computational intelligence, certification",102,Marco,Anisetti
234,0000-0001-7180-2279,0000-0001-7180-2279,N/A,APPROVED,N/A,N/A,"Image matching, photogrammetry, precise positioning, GNSS, computer vision",26,Luca,Morelli
235,0000-0001-8453-0807,0000-0001-8453-0807,N/A,APPROVED,N/A,N/A,N/A,0,MARIATERESA,ARTESE
236,0000-0002-3965-3522,0000-0002-3965-3522,Politecnico di Torino,APPROVED,Associate Professor,2020,N/A,115,Tiziano,Bianchi
237,0000-0001-8836-7939,0000-0001-8836-7939,N/A,APPROVED,N/A,N/A,N/A,0,Yu,Zhu
238,0000-0002-8013-314X,,,TO CHECK,,,,,,
239,0000-0003-4224-927X,0000-0003-4224-927X,Politecnico di Milano,APPROVED,Associate Professor,2014,N/A,153,Danilo,Ardagna
240,0000-0001-9885-1185,0000-0001-9885-1185,N/A,APPROVED,N/A,N/A,N/A,60,Roberta,Zupo
241,0000-0003-4488-885X,0000-0003-4488-885X,Fondazione IRCCS Istituto Nazionale dei Tumori,APPROVED,,2009,N/A,62,chiara maura,ciniselli
242,0000-0001-8130-437X,0000-0001-8130-437X,N/A,APPROVED,N/A,N/A,N/A,115,Raffaella,Calati
243,0000-0002-0619-0760,0000-0002-0619-0760,N/A,APPROVED,N/A,N/A,N/A,2,Giulia,Rizzi
244,0000-0002-8074-1102,0000-0002-8074-1102,Sana'a University,APPROVED,Demonstrator,2010,"General Topology, Topological ordered spaces, Soft set theory and its applications, Soft topology, Rough set theory and its applications, Fuzzy set theory",154,Tareq,Al-shami
245,0000-0002-4149-8226,0000-0002-4149-8226,University of Milan,APPROVED,Full Professor of Biochemistry,N/A,N/A,113,Laura,Riboni
246,0000-0001-6666-6954,0000-0001-6666-6954,University of Aberdeen,APPROVED,,N/A,"Multi-Agent Planning, Multi-Agent Systems, Model Checking",42,Rafael,Cardoso
247,0000-0001-6465-7624,0000-0001-6465-7624,Università degli Studi di Milano,APPROVED,Associate Professor,2023,"Internal medicine , Inflammatory and autoimmune rheumatic diseases, Inflammation and coagulation ",104,Roberta,Gualtierotti
248,0000-0002-5510-2296,0000-0002-5510-2296,N/A,APPROVED,N/A,N/A,N/A,13,Federico,Sternini
249,0009-0001-0955-6721,0009-0001-0955-6721,N/A,APPROVED,N/A,N/A,N/A,0,Riccardo,Rubini
250,0000-0003-2182-4511,0000-0003-2182-4511,N/A,APPROVED,N/A,N/A,N/A,3,Luca,Ronzio
251,0000-0002-1621-325X,0000-0002-1621-325X,N/A,APPROVED,N/A,N/A,N/A,0,Dominik,Michels
252,0000-0003-2437-1976,0000-0003-2437-1976,Johns Hopkins University,APPROVED,Associate Professor,2019,N/A,52,Benjamin,Langmead
253,0000-0002-5841-0198,0000-0002-5841-0198,Sage Bionetworks,APPROVED,Associate Director of Data Processing & Engineering,2022,N/A,23,Thomas,Yu
254,0000-0002-2190-272X,0000-0002-2190-272X,Università degli Studi di Trieste,APPROVED,Senior Researcher,2022,"Mathematical Biophysics, Computational Biology, Applied Statistical Physics, Applied Mathematics, Mathematical Epidemiology, Computer Science, Applied Mathematical Physics, Mathematical Biology, Stochastic Processes, Mathematical Oncology, Systems Biology",186,Alberto,d'Onofrio
255,0000-0002-5849-7000,0000-0002-5849-7000,Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico,APPROVED,,N/A,Neurosciences,35,Giovanni,Marfia
256,0000-0002-9000-3664,0000-0002-9000-3664,N/A,APPROVED,N/A,N/A,N/A,2,Alessia,Petescia
257,0000-0002-7505-6776,0000-0002-7505-6776,Technical University of Darmstadt,APPROVED,Post-doctoral researcher,2023,"Logistics, Supply Chain Management, Behavioral Operations Management, Data Envelopment Analysis, Econometrics",10,Dominic,Loske
258,0000-0003-1937-9797,0000-0003-1937-9797,N/A,APPROVED,N/A,N/A,N/A,27,Sören,Pirk
259,0000-0003-4909-7512,0000-0003-4909-7512,N/A,APPROVED,N/A,N/A,N/A,0,Anna Maria,Barbieri
260,0000-0001-5482-4636,0000-0001-5482-4636,N/A,APPROVED,N/A,N/A,N/A,2,Dengyan,Luo
261,0000-0002-0264-4761,0000-0002-0264-4761,N/A,APPROVED,N/A,N/A,N/A,23,Fabio,Anselmi
262,0000-0002-2646-8782,0000-0002-2646-8782,Barcelona Supercomputing Center,APPROVED,Head of Unit,2019,N/A,145,Martin,Krallinger
263,0000-0002-7101-0754,0000-0002-7101-0754,University of Groningen,APPROVED,"Scientific Staff, Professor, Hoogleraar",2014,"software engineering, software architecture, technical debt, empirical software engineering, software maintenance and evolution, software analytics",293,Paris,Avgeriou
264,0000-0002-2200-9538,0000-0002-2200-9538,N/A,APPROVED,N/A,N/A,N/A,25,Giulia,Rodari
265,0000-0001-6397-3705,0000-0001-6397-3705,N/A,APPROVED,N/A,N/A,N/A,0,Dumitru,Roman
266,0000-0002-7759-0550,0000-0002-7759-0550,Fondazione IRCCS Istituto Nazionale dei Tumori,APPROVED,,2004,N/A,100,Sara,Pizzamiglio
267,0000-0002-3090-4823,0000-0002-3090-4823,Universita degli Studi di Milano-Bicocca,APPROVED,Associate Professor,N/A,N/A,69,Dario,Pescini
268,0000-0003-1008-0692,0000-0003-1008-0692,N/A,APPROVED,N/A,N/A,N/A,1,Giovanni,Micali
269,0009-0003-4522-6222,0009-0003-4522-6222,mBrainTrain,APPROVED,ML Research Scientist,2021,N/A,7,Miloš,Pušica
270,0000-0003-4755-8338,0000-0003-4755-8338,N/A,APPROVED,N/A,N/A,N/A,0,Mahnoor,Khan
271,0000-0003-0591-877X,0000-0003-0591-877X,N/A,APPROVED,N/A,N/A,N/A,0,Marinella,Petrocchi
272,0000-0001-5541-5631,0000-0001-5541-5631,N/A,APPROVED,N/A,N/A,N/A,0,jonatha,anselmi
273,0000-0001-9692-7756,0000-0001-9692-7756,N/A,APPROVED,N/A,N/A,N/A,9,damu,ding
274,0000-0003-3997-0576,0000-0003-3997-0576,University of Milano Bicocca,APPROVED,Researcher,2003,N/A,2,ROBERTO,COLOMBO
275,0000-0001-6577-5606,0000-0001-6577-5606,National Research Council,APPROVED,Researcher,2022,N/A,76,Francesco,Poggi
276,0000-0003-0679-828X,0000-0003-0679-828X,University of Pavia,APPROVED,Assistant professor,2021,"AI, CDSS, Machine Learning, health informatics, medical informatics, data integration, decision analysis, XAI",28,Enea,Parimbelli
277,0000-0003-2629-6762,0000-0003-2629-6762,N/A,APPROVED,N/A,N/A,N/A,2,ILARIA,PIGAZZINI
278,0000-0003-4420-4147,0000-0003-4420-4147,TU Wien,APPROVED,,N/A,N/A,0,Wojciech,Kusa
279,0000-0001-9705-0618,0000-0001-9705-0618,N/A,APPROVED,N/A,N/A,N/A,9,Alessandra Maria,Storaci
280,0000-0003-4198-9620,0000-0003-4198-9620,N/A,APPROVED,N/A,N/A,N/A,98,Piazza,Rocco
281,0009-0001-1072-1210,0009-0001-1072-1210,UNIMIB,APPROVED,,N/A,N/A,1,Lorenzo,Delfini
282,0000-0002-9578-4586,0000-0002-9578-4586,National Research Council,APPROVED,research fellow,2017,N/A,31,MARTA,MONDELLINI
283,0000-0002-9186-1353,0000-0002-9186-1353,Società Italiana di Ematologia,APPROVED,Presidente SIE,2018,"Hematology, Hematopoietic Stem Cell Transplantation",245,Paolo,Corradini
284,0000-0002-1957-2530,0000-0002-1957-2530,Università degli Studi di Milano-Bicocca,APPROVED,Ricercatore,2020,"recommender systems, machine learning, deep learning, neural network",3,ricardo anibal,matamoros aragon
285,0000-0003-4044-8494,0000-0003-4044-8494,N/A,APPROVED,N/A,N/A,N/A,3,Thomas,Prantl
286,0000-0002-6870-7083,0000-0002-6870-7083,University of Rome Tor Vergata,APPROVED,Full professor,2023,N/A,136,Valeria,Cardellini
287,0000-0002-1168-3711,0000-0002-1168-3711,N/A,APPROVED,N/A,N/A,N/A,0,Marta,Giltri
288,0000-0002-3871-5760,0000-0002-3871-5760,Harvard Medical School,APPROVED,Assistant Professor,2016,"Genomics, Tuberculosis, Pulmonary disease",58,Maha,Farhat
289,0000-0003-3445-0467,0000-0003-3445-0467,N/A,APPROVED,N/A,N/A,N/A,0,Ebtesam,Almazrouei
290,0000-0002-7581-5955,0000-0002-7581-5955,N/A,APPROVED,N/A,N/A,N/A,4,Riccardo,Cavadini
291,0000-0002-0097-9146,0000-0002-0097-9146,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,APPROVED,Researcher,2013,"cancer, stem cells, angiogenesis, intervertebral disc, microglia, neuroinflammation",51,stefania elena,navone
292,0000-0002-1124-7098,0000-0002-1124-7098,Johannes Kepler Universität Linz,APPROVED, Head of the Institue of Business Informatics - Software Engineering,2019,"Model-Driven Engineering, Software Engineering, Quantum Software, AI & Software Engineering, Software Language Engineering",10,Manuel,Wimmer
293,0000-0002-3995-8529,0000-0002-3995-8529,N/A,APPROVED,N/A,N/A,N/A,0,Davide,Molinelli
294,0000-0003-2745-3539,0000-0003-2745-3539,N/A,APPROVED,N/A,N/A,N/A,0,Stefania,Marrara
295,0000-0003-3400-4475,0000-0003-3400-4475,University of Toronto,APPROVED,Associate Professor,2015,N/A,74,Slava,Epelman
296,0000-0002-6495-5717,0000-0002-6495-5717,N/A,APPROVED,N/A,N/A,N/A,8,Hamta,Sedghani
297,0000-0002-4170-0922,0000-0002-4170-0922,Università degli Studi di Milano Dipartimento di Informatica,APPROVED,Associate Professor,2023,"Bioinformatics, machine learning, protein function prediction, gene prioritization",45,Marco,Frasca
298,0000-0002-6365-5149,0000-0002-6365-5149,N/A,APPROVED,N/A,N/A,N/A,86,Luca,Mologni
299,0000-0003-0068-6551,0000-0003-0068-6551,Universita' degli Studi di MILANO,APPROVED,Docenti,2024,N/A,34,Sinem,Aslan
