"Unnamed: 0","ORCID ID","Given_Name","Family_Name","Role","Keywords","Organization","H Index","Citations"
452,"0000-0001-8584-0313","Marco","Rossignolo","","Nessuna","Quantum Physicist, Qruise GmbH",4,724
453,"0000-0002-9264-1280","Kedar Nath","Natarajan","","Nessuna","Technical University of Denmark",21,6383
454,"0000-0003-2467-6884","Fabrizio","Magugliani","Strategic Planning and Business Development","Nessuna","E4 Computer Engineering SpA","",""
455,"0000-0003-1326-426X","fita","safitri","","Nessuna","","",""
456,"0000-0001-7491-6095","Kyle","Roell","","Nessuna","Data Analyst Project Manager, University of North Carolina at Chapel Hill",10,873
457,"0000-0002-9307-3254","Falk","Schreiber","","Nessuna","Professor, University of Konstanz and Monash University",55,12781
458,"0000-0002-9740-0056","Jie","Liu","","Nessuna","Duke University",131,60014
459,"0000-0001-7856-6125","Stavros","Papadopoulos","","Nessuna","TileDB, Inc.",23,2971
460,"0000-0002-3204-6359","Runde","Li","","Nessuna","","",""
461,"0000-0002-9995-5987","Dirk","Drasdo","Directeur de Recherche","Nessuna","Inria Centre de Recherche de Paris",45,8764
462,"0000-0001-9054-7314","Zhiwei ","Zhong","","Nessuna","City University of Hong Kong (CityU)",9,316
463,"0000-0003-0605-239X","Akira","Funahashi","Professor","Systems Biology, Quantitative Biology, Computational Biology, Parallel Processing, Numerical Calculation, Image Processing, Machine Learning","Keio University",27,7099
464,"0000-0002-2299-2309","Jüri","Reimand","Associate professor","Nessuna","University of Toronto",45,19310
465,"0000-0002-0567-7075","Edda","Klipp","","Nessuna","Professor for Theoretical Biophysics, Humboldt-Universität zu Berlin",58,14826
466,"0000-0001-7044-8706","Younghyun","Han","","Nessuna","","",""
467,"0000-0001-6700-7379","Or","Litany","","Nessuna","Technion, NVIDIA",33,7259
468,"0000-0001-9334-8513","Chiara","Fornari","Pharmacokinetic Specialist","Nessuna","Menarini Ricerche SpA",10,1143
469,"0000-0003-2675-353X","Ariel","Chernomoretz","","Complex systems, Systems biology, Complex networks","Unknown affiliation",24,2021
470,"0000-0003-1373-8736","Lu-Lu","Xu","","Nessuna","","",""
471,"0000-0002-7928-4944","Witold","Rudnicki","Associate Professor","bionformatics, machine learning, GPU programming","University of Białystok",23,8182
472,"0000-0001-8203-2513","Kenneth","Jung","","Nessuna","The Hong Kong Education University",47,8563
473,"0000-0002-6328-5926","Luigi","Celona","Dirigente Tecnologo","Nessuna","Istituto Nazionale di Fisica Nucleare",33,3794
474,"0000-0002-6378-125X","Fabrizio","Benedicenti","","Nessuna","","",""
475,"0000-0001-7800-0674","Guocai","Chen","","Nessuna","School of Biomedical Informatics, University of Texas",8,614
476,"0000-0002-5440-4620","Jingdong","Liu","","Nessuna","Research Fellow, Imperial College London",29,2873
477,"0000-0002-4220-2474","Giulio","Spinozzi","Expert in Monitoring and Control of Complex Procedures","Data Science, Cloud Computing, Computational Biology, Bioinformatics, Big Data, Machine Learning, Linux Certified","Regione Umbria",13,720
478,"0000-0002-3573-5993","Aarne","Talman","","Nessuna","University of Helsinki",7,264
479,"0000-0002-2501-9563","Sunhee","Hwang","","Nessuna","Dongyang Mirae University",11,581
480,"0000-0003-3082-525X","Manuel","Calaza Cabanas","","Nessuna","","",""
481,"0009-0004-8580-8806","Gaetano","Chiriaco","AI Applied Research","Nessuna","LINKS Foundation","",""
482,"0000-0002-7156-6621","John","Wagner","","Nessuna","University of Minnesota",114,52120
483,"0000-0003-0553-3220","Daniel","Rotroff","Assistant Staff","Nessuna","Cleveland Clinic",36,6911
484,"0000-0003-0491-7396","shile","zhang","","Nessuna","Guardant Health",22,9873
485,"0000-0002-5665-0235","xiaochen","wang","","Nessuna","Shaanxi Green Wiser Environmental Protection Technology Company Limited",24,2135
486,"0000-0002-5823-4964","Marcos V","Conde","PhD Researcher","AI, Neural Networks, Computer Vision, Computational Photography, Image Processing, Deep Learning","Julius-Maximilians-Universität Würzburg",17,991
487,"0000-0001-8074-7793","Roberto","Avogadro","","Nessuna","SINTEF",8,146
488,"0000-0002-1429-1692","Zhaleh","Safikhani","","Nessuna","Post doctoral fellow",15,1545
489,"0000-0002-8402-619X","xianming","liu","","Nessuna","XPeng Inc",17,2236
490,"0000-0001-7558-9225","Lei Lei","Xie","","Nessuna","Northwestern Polytechnical University",52,11506
491,"0000-0002-0037-215X","Dong-Jin","Lim","","Nessuna","U of Alabama at Birmingham",24,2769
492,"0000-0003-0147-9378","Anna","Carobene","","Nessuna","IRCC San Raffaele Hospital",31,3287
493,"0000-0001-6890-3650","Liangpei","Zhang","","Nessuna","Professor, Wuhan University",141,79636
494,"0000-0002-5248-9931","wenkai","ji ","","Nessuna","","",""
495,"0000-0002-0785-1583","Daniele","Vigo","","Nessuna","Cambrex Profarmaco Milano",69,27496
496,"0000-0002-7350-6593","GIOVANNI PAOLO","GIBILISCO","","Nessuna","Politecnico di Milano",8,225
497,"0000-0002-9264-9725","Xiao","Chou","","Nessuna","Postgraduate Trainee",1,3
498,"0000-0002-5543-0505","Cristiano","Carlomagno","Strategic R&D Manager","Orthopedic, Nanotechnology, Research and Development, Clinical Translation","Rancate",17,737
499,"0009-0000-7290-3549","Lorenzo","Olearo","","Nessuna","University of Milano-Bicocca",1,1
500,"0000-0002-3617-5916","Francesco","Musumeci","","Nessuna","Associate Professor, Politecnico di Milano, Italy",28,3543
501,"0009-0002-9087-8310","Chern Wey, Joshua","Low","","Nessuna","","",""
502,"0000-0003-3896-6911","Mahmoud","ElHefnawi","Professor","Nessuna","National Research Centre",26,2253
503,"0009-0004-9571-1557","Chad","Allen","","Nessuna","Clemson",8,312
504,"0000-0001-5048-1816","Nakyung","Lee","","Nessuna","Honam National Institute of Biological Resources (HNIBR)",10,596
505,"0000-0003-1695-6763","Piero","Dalle Pezze","Senior Bioinformatics Software Engineer","Nessuna","Congenica Ltd",10,983
506,"0000-0003-2754-6567","Lan-Lan","Zhao","","Nessuna","","",""
507,"0000-0001-5360-1262","Giovanni Andrea","La Maida","MD","Nessuna","Istituto Ortopedico Gaetano Pini",11,589
508,"0000-0001-7518-5773","Carmelo","Messina","Assistant Professor - RTDA","Nessuna","Università degli Studi di Milano",42,5332
509,"0000-0002-4299-0060","Davide","Ferrari","","Nessuna","modena",90,32621
510,"0000-0002-1373-5802","PATRIZIA","STECA","","Nessuna","Full Professor, Department of Psychology, Un. of Milan Bicocca",47,13902
511,"0009-0000-0488-5684","Zhexin","Liang","","Computer Vision","Nanyang Technological University",4,240
512,"0000-0002-5251-8181","Giovanni","Di Veroli","","Nessuna","University of Cambridge, AstraZeneca",11,1549
513,"0000-0002-0484-6631","Chang-Chang","Chen","Assistant research fellow","Nessuna","National Research Institute of Chinese Medicine",35,3584
514,"0000-0003-1063-4157","Lijun","Cheng","","Nessuna","University of Colorado at Boulder",31,6189
515,"0000-0002-6306-0823","Ziv","Shkedy","","Nessuna","Professor for bioinformatics/biostatostics",32,4029
516,"0009-0002-9557-2329","SHUYI","ZHAO","Lecturer","Nessuna","Northeastern University",12,661
517,"0000-0003-2796-9180","Sylvia","Plevritis","","Nessuna","Professor of Biomedical Data Science, Stanford University",66,25098
518,"0000-0001-9713-9567","Seyed Ali","Madani Tonekaboni","","Nessuna","Staff Machine Learning Scientist (Recursion Pharmaceutical)",15,1049
519,"0000-0003-4966-1013","Marco Antonio","Camillo de Carvalho","Professor Adjunto","Nessuna","Universidade do Estado de Mato Grosso",22,1795
520,"0000-0002-1370-9401","Francesco","De Pellegrini","Professeur des Univesites","Nessuna","University of Avignon",30,8697
521,"0000-0002-1535-0092","huaqin","he","","Nessuna","Southern University of Science and Technology",5,90
522,"0000-0002-0088-0269","yifan","ding","","Nessuna","Soochow University",13,874
523,"0000-0003-2707-4387","Thea","Norman","","Nessuna","","",""
524,"0000-0002-1961-8199","RICHARD","COLLINS","","Nessuna","University of Colorado Boulder",45,8351
525,"0000-0002-5236-2842","Marco","Cicala","","Nessuna","","",""
526,"0000-0001-5514-6021","Albert","Kooistra","Associate Professor","Nessuna","University of Copenhagen",32,3928
527,"0000-0002-8315-4886","Leonidas","Guibas","","Nessuna","Professor of Computer Science, Stanford University",153,145970
528,"0000-0002-5759-428X","William","Denney","Chief Scientist","Nessuna","Human Predictions",110,43163
529,"0000-0002-5770-8611","Sanchayan","Santra","","Nessuna","Specially-Appointed Researcher/Fellow, Institute for Datability Science,Osaka University",9,538
530,"0000-0002-2460-8892","chiara","damiani","Responsible","#museumeducation #socialinclusion #culturalmediation","Stazione Utopia",20,1142
531,"0000-0002-9284-0802","Georgi","Kanev","Sr Computational Research Scientist","Nessuna","St. Jude Children's Research Hospital",6,874
532,"0000-0003-4727-9435","Michel","Dumontier","Distinguished Professor","data science, biomedical informatics, drug discovery, semantic web, ontology, intelligent systems, k","Maastricht University",60,27224
533,"0000-0003-0374-4550","Roman","Schulte-Sasse","Senior Machine Learning Engineer","Nessuna","AIgnostics",3,236
534,"0000-0003-3046-9814","Liang","Lin","","Nessuna","Fellow of IEEE/IAPR, Research Director of Peng Cheng Laboratory, Professor of Computer Science, SYSU",99,37310
535,"0000-0001-7964-2492","Fabio","Stella","Chercheur associé","Nessuna","Université de Franche-Comté",31,3664
536,"0000-0002-7770-620X","Friederike","Ehrhart","Assistent Professor (tenured)","rare diseases, systems biology, bioinformatics, pathway and network analysis, omics data analysis, tissue engineering, neurological diseases, cell culture, tissue engineering, GMP, nanomaterials","Maastricht University",24,3586
537,"0000-0002-1920-7883","Kwang hyun","Cho","","Nessuna","Korea Advanced Institute of Science and Technology",61,10623
538,"0000-0002-4663-5322","Ting-Wei","Chen","","Nessuna","","",""
539,"0009-0008-0384-9372","Jose","Caballero caballero ","","Nessuna","Shift Lab",29,28801
540,"0000-0002-2416-833X","Anna","Goldenberg","Senior Scientist","Nessuna","The Hospital for Sick Children",43,14896
541,"0000-0002-1841-2615","Shuai ","Liu","","Nessuna","Nanyang Technological University",116,81964
542,"0000-0003-2597-2204","Jaesub","Park","","Nessuna","Cambridge University",2,10
543,"0000-0002-2752-1565","MARCELLO","IMBRIANI","","Nessuna","","",""
544,"0000-0003-3774-994X","Xinbo","Gao","","Nessuna","Xidian University & CQUPT",94,42714
545,"0009-0006-5374-7214","Yiyu","Yao","postgraduate","Nessuna","Jiangnan University",100,40977
546,"0000-0002-2425-852X","Adam","Godzik","Professor","Nessuna","University of California Riverside School of Medicine",99,57948
547,"0000-0002-3589-1953","Hiroaki","Kitano","Professor","Nessuna","Okinawa Institute of Science and Technology Graduate University",91,57089
548,"0000-0002-2942-1605","Stefania","Bandini","","Nessuna","University of Milano-Biocca",35,4751
549,"0000-0002-0389-5597","Tae Hyun","Hwang","","Bioinformatics, Computational Biology, Machine Learning","Florida Department of Health Cancer Chair, Dept. of AI, and Immunology, Mayo Clinic",36,5451
550,"0000-0001-6058-515X","CARLO","GAMBACORTI PASSERINI","Full Professor of Hematology","CML TKI ALK+ Lymphoma aCML NGS","Università degli Studi di Milano-Bicocca",87,40263
551,"0000-0002-1423-1083","Gunel","Jahangirova","","Nessuna","King's College London",13,1065
552,"0000-0002-0099-5816","Alex","Karanevich","","Nessuna","","",""
553,"0000-0001-5492-7918","Barbara","Balser","","Nessuna","","",""
554,"0000-0002-7458-2782","Victoria","Romeo Aznar","","Nessuna","","",""
555,"0000-0002-6639-5661","ALVARO","LUQUE ARAPA","DOCENTE","Nessuna","Universidad Andina Nestor Caceres Velasquez","",""
556,"0009-0005-7088-5400","Gergana","Bounova","","Nessuna","Unknown affiliation",18,6887
557,"0000-0001-6962-6659","Yuzhi","Wang","","Nessuna","Research Engineer @ Megvii Inc.",11,2991
558,"0000-0001-7142-9443","Michael","Schubert","","Nessuna","Johns Hopkins University",47,12342
559,"0000-0003-0050-5140","Robert","Kueffner","","Nessuna","Unknown affiliation",24,4716
560,"0000-0002-8171-6056","Janelle","Noel-MacDonnell","","Nessuna","Children's Mercy Hospital",16,674
561,"0000-0002-9876-4521","Shengfeng","Luo","","Nessuna","Southern University of Science and Technology",2,33
562,"0000-0002-5801-7804","Marta R.","Hidalgo","","Nessuna","University of Valencia",16,1010
563,"0000-0003-1287-1906","Yuelong","Guo","","Nessuna","Grifols (United States)",18,1431
564,"0000-0001-7729-4666","Luca","Cosmo","","Nessuna","Ca' Foscari University of Venice",20,1616
565,"0000-0002-8035-0259","tramy","nguyen","","Nessuna","Raytheon BBN Technologies",15,882
566,"0000-0001-5435-4750","Vladimir","Bajic","Professor, Applied Mathematics and Computational Science; Director, Computational Bioscience Research Center"," AI/machine learning/deep learning, text- & data- & knowledge-mining, information integration,  bioinformatics, drug repositioning, diagnostic & screening & prognostic biomarkers, function inference of transcripts and proteins, metagenomics, transcriptomics, regulation","King Abdullah University of Science and Technology (KAUST)",1,37
567,"0000-0001-6183-4082","Cuong","Dang","","Photonics, Nanophotonics, Optoelectronics, LED, Laser","Associate Professor, Nanyang Technological University (NTU)",40,5059
568,"0000-0003-0876-1595","Alberto","Calderone","","Computer Science","Independent Researcher",39,6654
569,"0009-0009-6363-9569","Lei","Tang","","Nessuna","Central South University",38,11304
570,"0009-0000-4204-3955","Petra","Murinová","","Nessuna","University of Ostrava",10,500
571,"0000-0002-5439-7918","Tatsuhiko","Tsunoda","Professor","Nessuna","The University of Tokyo",128,79768
572,"0000-0002-6709-1627","Kuldeep","Purohit","Postdoctoral Research Associate","Nessuna","Michigan State University",22,1785
573,"0000-0002-1438-0265","Daeseon","Choi","","Nessuna","Dept. of Medical Information, Kongju National Univ.",20,1608
574,"0000-0002-7699-8191","Martina","Kutmon","Assistant Professor","Pathway analysis, Network Biology, WikiPathways, PathVisio, Cytocape, CyTargetLinker, Systems Biology, Bioinformatics","Maastricht University",26,5889
575,"0000-0002-1634-9034","Albert A.","Antolin","Principal Investigator","Nessuna","Institut d'Investigació Biomédica de Bellvitge",18,1717
576,"0000-0002-1179-3304","Yasi","Wang","","Nessuna","Samsung Research China-Beijing",4,1205
577,"0000-0003-4937-9683","Michela","Seghezzi","","Nessuna","Unknown affiliation",22,1522
578,"0000-0002-8383-3504","oscar","cornejo","","Nessuna","Departamento de Ingeniería Industrial UCSC",4,66
579,"0009-0003-7847-7714","Hiroaki","Kitano","","Nessuna","The Systems Biology Institute, Director / Sony Computer Science Laboratories, Inc., President and CEO / Okinawa Institute of Science and Technology, Professor",91,57089
580,"0000-0003-4648-4648","Yoon Keun","Kwak","Professor","Nessuna","Kumoh National Institute of Technology","",""
581,"0000-0002-7600-9752","Pasura","Aungkulanon","","Nessuna","King Mongkut's University of Technology North Bangkok",10,446
582,"0000-0002-0151-4850","Dmitry","Nikolaev","","Nessuna","Head of the Lab at Institute for Information Transmission Problems RAS, CTO at Smart Engines",24,2900
583,"0000-0002-4058-5213","feiyu","huang","","Nessuna","Unknown affiliation",3,168
584,"0000-0002-2568-2381","Wolfram","Liebermeister","","Systems biology","INRAE Centre de Jouy-en-Josas",39,10696
585,"0000-0002-2605-5080","Jonathan","Karr","Fellow","systems biology, translational medicine, computational biology, modeling","Icahn School of Medicine at Mount Sinai",92,39714
586,"0000-0002-8754-6377","Martin","Meier-Schellersheim","Senior Investigator / Section Chief","Nessuna","National Institute of Allergy and Infectious Diseases",30,6019
587,"0000-0002-4833-6959","Sara","Santos","","Nessuna","CIBIO/InBio, University of Evora",44,8270
588,"0000-0002-9213-6903","Jinying","Huang","","Nessuna","Ningbo University of Finance and Economics",1,1
589,"0000-0002-4845-4509","ANNA","FERRARI","","Nessuna","HZDR (Helmholtz-Zentrum Dresden-Rossendorf)",46,7871
590,"0000-0003-0833-805X","Runnan","Zhou","","Nessuna","","",""
591,"0000-0002-1856-2330","Nazem","Atassi","Head, Early Neuro Development ","Nessuna","Sanofi Genzyme",37,4814
592,"0000-0002-8312-6295","Francesco","Giuliani","","Nessuna","Head of Innovation & Research",22,1536
593,"0000-0002-5381-8418","Alexander","Chatzigeorgiou","","Nessuna","Professor of Software Engineering, University of Macedonia",44,7564
594,"0000-0001-5791-1217","Stuart","SEALFON","","Nessuna","Icahn School of Medicine at Mount Sinai",76,21444
595,"0009-0009-4538-4494","I-Hsiang","Chen","","Nessuna","National Taiwan University",10,607
596,"0000-0002-8041-8524","Jeremy","Ash","AI/ML Drug Discovery Data Scientist","Nessuna","Janssen Research and Development",9,656
597,"0000-0002-9224-754X","ERALDO","PAULESU","Full Professor of Cognitive Neuroscience","Nessuna","Universita degli Studi di Milano-Bicocca",61,24114
598,"0000-0002-1711-5053","Liv","Thommesen","","Nessuna","","",""
599,"0000-0002-5515-7289","Joo-Ryun","Chung","","Nessuna","","",""
