Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.15252/msb.20199110,<scp>SBML</scp> Level 3: an extensible format for the exchange and reuse of biological models,2020,journal-article,https://doi.org/10.15252/msb.20199110,"0000-0002-2823-6838, 0000-0002-3356-3542, 0000-0002-5886-5563, 0000-0003-1725-179X, 0000-0001-7112-9328, 0000-0002-1240-5553, 0000-0003-2350-0756, 0000-0001-5553-4702, 0000-0003-2426-8258, 0000-0003-1787-0275, 0000-0003-3653-1906, 0000-0001-8503-8371, 0000-0003-0705-9809, 0000-0001-6191-5595, 0000-0002-3746-9676, 0000-0002-8762-8444, 0000-0002-6495-2655, 0000-0002-5293-5321, 0000-0002-5458-7404, 0000-0003-3286-7736, 0000-0001-7002-6386, 0000-0003-0271-1757, 0000-0001-7030-8690, 0000-0003-0736-802X, 0000-0002-9363-9705, 0000-0002-1642-7493, 0000-0001-8127-609X, 0000-0002-8515-6738, 0000-0001-9579-7267, 0000-0003-4011-8487, 0000-0002-2568-2381, 0000-0002-7702-4495, 0000-0002-8912-7213, 0000-0002-9085-9171, 0000-0002-1366-1399, 0000-0002-9311-7093, 0000-0002-9290-7894, 0000-0003-0001-0295, 0000-0003-0987-6626, 0000-0002-1145-891X, 0000-0001-7020-1236, 0000-0003-3123-4136, 0000-0002-7156-6621, 0000-0002-8754-6377, 0000-0002-3659-6817, 0000-0003-2357-6785, 0000-0001-8068-426X, 0000-0002-3589-1953, 0000-0003-0605-239X, 0000-0001-8479-0262, 0000-0002-1828-2486, 0000-0001-9105-5960, 0000-0003-3915-7243, 0000-0002-1086-6639, 0000-0003-0185-8861, 0000-0002-5046-3105, 0000-0002-9551-6370, 0000-0002-8931-7105, 0000-0003-1695-6763, 0000-0002-3663-7113, 0000-0002-5759-428X, 0000-0002-6717-2451, 0000-0002-9995-5987, 0000-0002-8529-1972, 0000-0003-0006-4082, 0000-0002-9115-8756, 0000-0002-5301-3142, 0000-0002-6621-3573, 0000-0001-5346-9812, 0000-0001-6760-7200, 0009-0004-4214-3680, 0000-0002-8683-7084, 0000-0001-6115-9339, 0000-0003-2083-2907, 0009-0003-0948-1867, 0009-0001-2437-0466, 0000-0001-6211-2719, 0000-0003-4383-8711, 0000-0003-3157-4309, 0000-0002-2226-650X, 0000-0001-5712-0036, 0000-0002-2605-5080, 0000-0001-5838-7963, 0000-0002-8630-1108, 0000-0003-2563-7561, 0000-0002-0567-7075, 0000-0002-6291-6175, 0000-0002-0396-0256, 0000-0002-7699-8191, 0000-0002-4625-743X, 0000-0002-4186-8506, 0000-0002-9520-5847, 0000-0002-1274-5099, 0000-0002-5171-9096, 0000-0001-9311-6755, 0000-0001-8721-202X, 0000-0002-6472-0221, 0000-0002-7934-5495, 0000-0002-9264-1280, 0000-0002-8035-0259, 0000-0002-1859-3719, 0000-0002-3180-5966, 0000-0001-5048-2923, 0000-0002-9701-1851, 0000-0002-8552-8976, 0000-0003-4519-7030, 0000-0001-7554-1862, 0000-0002-9307-3254, 0000-0001-7142-9443, 0000-0003-0374-4550, 0000-0001-5791-1217, 0000-0003-2815-7045, 0000-0001-5525-7418, 0000-0001-6152-4164, 0000-0002-9067-1531, 0000-0002-7517-3796, 0000-0003-3929-0423, 0000-0002-5281-6410, 0009-0003-0443-3663, 0000-0002-2956-7815, 0000-0003-3837-2929, 0000-0003-4995-780X, 0000-0001-5031-1016, 0000-0002-3413-6841, 0000-0002-5666-3802, 0000-0002-7276-9009",Stochasticity in Gene Regulatory Networks,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,133,246,"['Systems Biology', 'Biochemical Modeling', 'Genome-Scale Models', 'SBML']",
10.1101/2020.01.14.906453,Longitudinal cancer evolution from single cells,2020,preprint,https://doi.org/10.1101/2020.01.14.906453,"0000-0002-2823-6838, 0000-0002-6087-2666, 0000-0002-3375-6686, 0000-0002-4268-6827, 0000-0001-5501-3368, 0000-0001-7191-5417, 0000-0001-5452-1918",Genomic Landscape of Cancer and Mutational Signatures,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,72,14,"['Tumor Evolution', 'Cancer Genomics', 'Cell Heterogeneity', 'Intratumor Heterogeneity', 'Lineage Tracking', 'Single cell sequencing', 'Cancer genome sequencing']",
10.1101/662858,Personalized Therapy Design for Liquid Tumors via Optimal Control Theory,2019,other,https://doi.org/10.1101/662858,"0000-0002-2823-6838, 0000-0002-3375-6686, 0000-0001-5452-1918, 0000-0001-8584-0313, 0000-0001-8519-4331, 0000-0001-5364-7316, 0000-0002-8882-2169",Efficacy and Resistance in CML Treatment,Hematology,Medicine,Health Sciences,68,2,"['Drug Therapy', 'Pharmacodynamics', 'Tumor Dynamics', 'Personalized medicine']",
10.1007/978-3-030-21733-4_9,Synchronization Effects in a Metabolism-Driven Model of Multi-cellular System,2019,book-chapter,https://doi.org/10.1007/978-3-030-21733-4_9,"0000-0002-2823-6838, 0000-0001-8519-4331, 0000-0001-5452-1918, 0000-0002-2555-075X, 0000-0002-3090-4823, 0000-0003-3520-4022, 0000-0002-5742-8302",Metabolic Engineering and Synthetic Biology,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,28,1,"['Unison', 'Flux balance analysis', 'Cell Signaling Dynamics', 'Metabolic Studies', 'Single-Cell Analysis', 'Dynamics (music)', 'Cell metabolism']",
10.1007/978-981-97-0989-2_27,"Smelling Homemade Crypto Code in Microservices, with KubeHound",2024,book-chapter,https://doi.org/10.1007/978-981-97-0989-2_27,"0000-0002-1195-530X, 0000-0003-2208-9117, 0000-0002-2435-3543, 0000-0003-2048-2468",Machine Learning for Internet Traffic Classification,Artificial Intelligence,Computer Science,Physical Sciences,11,0,"['Code (set theory)', 'Microservices']",
10.1145/3593434.3593442,Impact of Architectural Smells on Software Performance: an Exploratory Study,2023,conference-paper,https://doi.org/10.1145/3593434.3593442,"0000-0002-1195-530X, 0000-0003-2491-5267, 0009-0001-3001-8864, 0009-0008-8597-4491, 0000-0002-7675-6942",Log Analysis and System Performance Diagnosis,Computer Networks and Communications,Computer Science,Physical Sciences,33,1,"['Code smell', 'Architectural pattern', 'Source Code Analysis', 'Architecture-Based Approach', 'Software Defect Prediction', 'Maintainability', 'Technical debt', 'Architectural style']",
10.1109/TSE.2023.3234321,Automated Detection of Software Performance Antipatterns in Java-Based Applications,2023,journal-article,https://doi.org/10.1109/TSE.2023.3234321,"0000-0002-1195-530X, 0000-0002-7675-6942, 0000-0003-3375-7256, 0000-0002-1229-5219",Log Analysis and System Performance Diagnosis,Computer Networks and Communications,Computer Science,Physical Sciences,62,6,"['Software Reliability Modeling', 'Fault Detection and Correction', 'Program Repair', 'Model-driven Performance Prediction', 'Software Fault Localization']",
10.1109/MS.2020.3024958,An Overview and Comparison of Technical Debt Measurement Tools,2020,journal-article,https://doi.org/10.1109/MS.2020.3024958,"0000-0002-1195-530X, 0000-0002-7101-0754, 0000-0002-8013-314X, 0000-0002-5764-7302, 0000-0002-9811-000X, 0000-0002-5381-8418, 0000-0003-0511-5133, 0009-0009-1143-2996, 0000-0003-2629-6762, 0000-0003-3383-3298, 0000-0002-0747-4052",Empirical Studies in Software Engineering,Information Systems,Computer Science,Physical Sciences,12,79,"['Technical debt', 'Popularity', 'Requirements Traceability', 'Empirical research']",
10.1007/978-3-030-70006-5_16,"Internal Software Quality Evaluation of Self-adaptive Systems Using Metrics, Patterns, and Smells",2021,book-chapter,https://doi.org/10.1007/978-3-030-70006-5_16,"0000-0002-1195-530X, 0000-0002-7194-3159",Empirical Studies in Software Engineering,Information Systems,Computer Science,Physical Sciences,34,0,"['Self-Adaptive Systems', 'Software quality control', 'Software Reliability Modeling', 'Software Architecture', 'Source Code Analysis', 'Code smell']",
10.1016/j.jss.2019.04.066,Are architectural smells independent from code smells? An empirical study,2019,journal-article,https://doi.org/10.1016/j.jss.2019.04.066,"0000-0002-1195-530X, 0000-0003-0511-5133, 0000-0003-2559-9956, 0000-0002-3210-3990",Empirical Studies in Software Engineering,Information Systems,Computer Science,Physical Sciences,82,42,"['Code smell', 'Code (set theory)', 'Source Code Analysis', 'Code review']",
10.1007/978-3-030-29983-5_17,Tool Support for the Migration to Microservice Architecture: An Industrial Case Study,2019,book-chapter,https://doi.org/10.1007/978-3-030-29983-5_17,"0000-0002-1195-530X, 0000-0003-2629-6762, 0000-0003-4946-5637",Log Analysis and System Performance Diagnosis,Computer Networks and Communications,Computer Science,Physical Sciences,25,23,"['Code smell', 'Microservices', 'Software Architecture', 'Legacy system', 'Code (set theory)']",
10.1145/3652037.3652046,Can wearable technologies contribute to an age-friendly walkability environment? First insights from a systematic review of the literature,2024,conference-paper,https://doi.org/10.1145/3652037.3652046,"0000-0002-7056-0543, 0000-0002-0522-2804, 0009-0002-3918-0099",Influence of Built Environment on Active Travel,Transportation,Social Sciences,Social Sciences,26,0,"['Walkability', 'Neighborhood Walkability', 'Technology Use', 'Accessibility', 'Environmental Correlates']",
10.3390/s23063225,Behavior and Task Classification Using Wearable Sensor Data: A Study across Different Ages,2023,journal-article,https://doi.org/10.3390/s23063225,"0000-0002-7056-0543, 0000-0002-6279-6660, 0000-0003-1308-8497, 0000-0002-1168-3711, 0000-0003-3069-1757",Non-contact Physiological Monitoring Technology,Biomedical Engineering,Engineering,Physical Sciences,74,3,"['Normalization (sociology)', 'Wearable Sensors', 'Activity Recognition', 'Context-Aware Applications', 'Ambient Intelligence', 'Physiological Monitoring', 'Wearable technology']",
10.3390/signals3020016,Personalized PPG Normalization Based on Subject Heartbeat in Resting State Condition,2022,journal-article,https://doi.org/10.3390/signals3020016,"0000-0002-7056-0543, 0000-0002-6279-6660, 0000-0003-1308-8497, 0000-0002-1168-3711",Analysis and Applications of Heart Rate Variability,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences,61,6,"['Normalization (sociology)', 'Heartbeat', 'Emotion Regulation', 'Heart Rate Variability', 'Photoplethysmography', 'Pulse Oximetry', 'Photoplethysmogram']",
10.1007/978-3-031-14926-9_23,Integrating the Implications of Distance-Based Affective States in Cellular Automata Pedestrian Simulation,2022,book-chapter,https://doi.org/10.1007/978-3-031-14926-9_23,"0000-0002-7056-0543, 0000-0003-1994-8929, 0000-0003-1420-404X, 0000-0002-6279-6660, 0000-0002-1168-3711, 0000-0002-7916-6438",Modeling Pedestrian Dynamics and Evacuations,Ocean Engineering,Engineering,Physical Sciences,9,2,"['Proxemics', 'Crowd Simulation', 'Simulations', 'Pedestrian Dynamics', 'Cellular Automaton']",
10.1007/s12626-021-00091-8,Social and Active Inclusion of the Elderly in the City Through Affective Walkability,2021,journal-article,https://doi.org/10.1007/s12626-021-00091-8,"0000-0002-7056-0543, 0000-0002-6279-6660",Effects of Noise Pollution on Health and Well-being,Speech and Hearing,Health Professions,Health Sciences,34,4,"['Walkability', 'Neighborhood Walkability']",
10.1007/978-3-030-77091-4_25,Age-Related Walkability Assessment: A Preliminary Study Based on the EMG,2021,book-chapter,https://doi.org/10.1007/978-3-030-77091-4_25,"0000-0002-7056-0543, 0000-0002-6279-6660, 0000-0003-1308-8497, 0000-0003-3069-1757",Effects of Whole Body Vibration Training,Orthopedics and Sports Medicine,Medicine,Health Sciences,19,2,"['Walkability', 'Elderly Population', 'Elderly']",
10.3233/AIC-201576,Safety perception and pedestrian dynamics: Experimental results towards affective agents modeling,2021,journal-article,https://doi.org/10.3233/AIC-201576,"0000-0002-7056-0543, 0000-0002-6279-6660, 0000-0002-1168-3711, 0000-0002-2942-1605",Modeling Pedestrian Dynamics and Evacuations,Ocean Engineering,Engineering,Physical Sciences,42,3,"['Pedestrian Dynamics', 'Agent-Based Modeling', 'Human Behavior', 'Driver Behavior', 'Crowd Behavior', 'Dynamics (music)']",
10.1016/J.ENGAPPAI.2019.103241,An agent-based model for plausible wayfinding in pedestrian simulation,2019,journal-article,https://doi.org/10.1016/J.ENGAPPAI.2019.103241,"0000-0002-7056-0543, 0000-0002-7916-6438, 0000-0002-4660-4622, 0000-0002-2942-1605",Modeling Pedestrian Dynamics and Evacuations,Ocean Engineering,Engineering,Physical Sciences,41,30,"['Counterintuitive', 'Pedestrian Dynamics', 'Agent-Based Modeling', 'Social Sensing', 'Simulations', 'Congestion Pricing', 'Abstraction']",
10.1016/J.JTTE.2019.01.004,Calibration and validation of a simulation model for predicting pedestrian fatalities at unsignalized crosswalks by means of statistical traffic data,2019,journal-article,https://doi.org/10.1016/J.JTTE.2019.01.004,"0000-0002-7056-0543, 0000-0003-0718-8707, 0000-0002-8086-9149, 0000-0002-4660-4622, 0000-0002-7916-6438, 0000-0003-3069-1757, 0000-0002-2942-1605",Analysis of Traffic Safety and Driver Behavior,"Safety, Risk, Reliability and Quality",Engineering,Physical Sciences,49,38,"['Pedestrian Dynamics', 'Crash Prediction Models', 'Simulations', 'Simulation Models', 'Statistical analysis']",
10.1007/S11042-020-09114-Y,Discriminating affective state intensity using physiological responses,2020,journal-article,https://doi.org/10.1007/S11042-020-09114-Y,"0000-0002-7056-0543, 0000-0002-6279-6660, 0000-0002-1168-3711, 0000-0002-2942-1605",Emotion Recognition and Analysis in Multimodal Data,Experimental and Cognitive Psychology,Psychology,Social Sciences,52,7,"['Headphones', 'Affective Computing', 'Physiological Signals', 'Speech Emotion', 'Photoplethysmogram', 'Wearable Sensors', 'Emotion Recognition', 'Relaxation technique', 'Skin conductance']",
10.3233/FI-2020-1870,Unveiling the Hidden Dimension of Pedestrian Crowds: Introducing Personal Space and Crowding into Simulations,2019,journal-article,https://doi.org/10.3233/FI-2020-1870,"0000-0002-7056-0543, 0000-0002-2942-1605, 0000-0002-4660-4622, 0000-0002-8086-9149, 0000-0003-3069-1757, 0000-0002-7916-6438",Modeling Pedestrian Dynamics and Evacuations,Ocean Engineering,Engineering,Physical Sciences,0,10,"['Proxemics', 'Crowding', 'Personal space', 'Crowd Simulation', 'Crowd Behavior', 'Pedestrian Dynamics', 'Representation (politics)']",
10.1007/S11047-019-09766-2,A cellular automata based approach to track salient objects in videos,2019,journal-article,https://doi.org/10.1007/S11047-019-09766-2,"0000-0002-7056-0543, 0000-0002-4660-4622, 0000-0002-7916-6438, 0000-0002-7725-6667, 0000-0002-2942-1605",Neuronal Oscillations in Cortical Networks,Cognitive Neuroscience,Neuroscience,Life Sciences,31,1,"['Sobel operator', 'Theory of computation', 'Cellular Automata']",
10.3233/WEB-190403,Stress estimation in pedestrian crowds: Experimental data and simulations results,2019,journal-article,https://doi.org/10.3233/WEB-190403,"0000-0002-7056-0543, 0000-0002-8086-9149, 0000-0002-4660-4622, 0000-0002-7916-6438, 0000-0002-2942-1605",Modeling Pedestrian Dynamics and Evacuations,Ocean Engineering,Engineering,Physical Sciences,43,8,"['Crowd Simulation', 'Crowd Behavior', 'Pedestrian Dynamics', 'Agent-Based Modeling', 'Simulations']",
10.1101/2024.09.17.613426,PangeBlocks: customized construction of pangenome graphs via maximal blocks,2024,preprint,https://doi.org/10.1101/2024.09.17.613426,"0000-0001-7289-4988, 0000-0003-3425-2823, 0000-0002-6469-4887, 0000-0001-5584-3089, 0000-0001-8786-2276",Model-Driven Engineering in Software Development,Software,Computer Science,Physical Sciences,0,0,"['Graph Transformation', 'Parameterized Complexity', 'Kernelization', 'Graph Theory', 'Approximation Algorithms']",
10.1093/bioinformatics/btae292,RecGraph: recombination-aware alignment of sequences to variation graphs,2024,journal-article,https://doi.org/10.1093/bioinformatics/btae292,"0000-0001-7289-4988, 0000-0003-3425-2823, 0000-0002-6469-4887, 0000-0001-5584-3089, 0000-0001-8786-2276, 0000-0003-1885-500X, 0009-0004-1710-5500, 0000-0002-8479-7592",RNA Sequencing Data Analysis,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,42,0,"['Variation (astronomy)', 'sequence alignment', 'sequence variation', 'Phylogenetic Analysis', 'Environmental DNA Sequencing']",
10.1101/2023.11.06.565751,Differential quantification of alternative splicing events on spliced pangenome graphs,2023,preprint,https://doi.org/10.1101/2023.11.06.565751,"0000-0001-7289-4988, 0000-0002-6469-4887, 0000-0003-2439-0608, 0000-0001-5584-3089, 0009-0002-6989-9117, 0000-0001-8786-2276",Regulation of RNA Processing and Function,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,37,0,['Alternative Splicing'],
10.1093/bioinformatics/btad552,μ- PBWT: a lightweight r-indexing of the PBWT for storing and querying UK Biobank data,2023,journal-article,https://doi.org/10.1093/bioinformatics/btad552,"0000-0001-7289-4988, 0000-0003-2439-0608, 0000-0001-7891-8813, 0000-0002-7725-4813, 0000-0003-3689-327X, 0000-0002-8721-4444, 0000-0002-9121-6717",Genomic Studies and Association Analyses,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,25,0,"['Leverage (statistics)', 'Haplotype Mapping', 'Approximate Matching']",
10.1101/2023.07.05.547757,ESGq: Alternative Splicing events quantification across conditions based on Event Splicing Graphs,2023,preprint,https://doi.org/10.1101/2023.07.05.547757,"0000-0001-7289-4988, 0000-0003-2439-0608, 0000-0001-8786-2276",Regulation of RNA Processing and Function,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,30,1,"['Alternative Splicing', 'Gene Expression Regulation']",
10.1038/s41592-022-01674-1,SVDSS: structural variation discovery in hard-to-call genomic regions using sample-specific strings from accurate long reads,2022,journal-article,https://doi.org/10.1038/s41592-022-01674-1,"0000-0001-7289-4988, 0000-0002-7403-7039, 0000-0002-4222-4788, 0000-0003-2703-9274, 0000-0003-1099-8735",RNA Sequencing Data Analysis,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,69,13,"['sequence variation', 'Structural Variation', 'sequence alignment', 'Sequence (biology)', 'False discovery rate', 'Sequence assembly']",
10.1101/2023.02.15.528658,<i>μ</i>-PBWT: Enabling the Storage and Use of UK Biobank Data on a Commodity Laptop,2023,preprint,https://doi.org/10.1101/2023.02.15.528658,"0000-0001-7289-4988, 0000-0003-2439-0608, 0000-0002-3012-1394, 0000-0002-7725-4813, 0000-0002-8721-4444, 0000-0001-9509-9725",Genomic Studies and Association Analyses,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,22,1,"['Laptop', 'Haplotype Mapping', 'RSS', 'Out-of-core algorithm']",
10.1007/978-3-031-43980-3_8,Data Structures for SMEM-Finding in the PBWT,2023,book-chapter,https://doi.org/10.1007/978-3-031-43980-3_8,"0000-0001-7289-4988, 0000-0001-9509-9725, 0000-0003-2439-0608, 0000-0003-3689-327X, 0000-0002-8721-4444, 0000-0002-3012-1394",Genetic Architecture of Quantitative Traits,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,13,0,"['Divergence (linguistics)', 'Structure Learning', 'Probabilistic Learning', 'Data set', 'Auxiliary memory']",
10.1007/978-3-031-34953-9_5,Multiallelic Maximal Perfect Haplotype Blocks with Wildcards via PBWT,2023,book-chapter,https://doi.org/10.1007/978-3-031-34953-9_5,"0000-0001-7289-4988, 0000-0001-5584-3089, 0000-0002-8479-7592, 0000-0001-9730-7516, 0009-0003-5838-5329",Microarray Data Analysis and Gene Expression Profiling,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,15,1,['Marker-Assisted Selection'],
10.1093/gigascience/giac119,Accurate and fast clade assignment via deep learning and frequency chaos game representation,2022,journal-article,https://doi.org/10.1093/gigascience/giac119,"0000-0001-7289-4988, 0000-0003-3425-2823, 0000-0003-2287-0229, 0000-0002-6469-4887, 0000-0001-5584-3089",RNA Sequencing Data Analysis,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,37,3,"['Leverage (statistics)', 'sequence variation', 'sequence alignment', 'Chaos Game Representation', 'Pandemic', 'Coronavirus']",
10.1101/2022.10.27.513962,RecGraph: adding recombinations to sequence-to-graph alignments,2022,preprint,https://doi.org/10.1101/2022.10.27.513962,"0000-0001-7289-4988, 0000-0003-3425-2823, 0000-0002-6469-4887, 0000-0001-5584-3089, 0000-0001-8786-2276, 0009-0004-1710-5500, 0000-0002-8479-7592",RNA Sequencing Data Analysis,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,21,2,"['sequence alignment', 'sequence variation', 'Multiple sequence alignment', 'Sequence (biology)']",
10.1101/2022.09.16.508250,Compressed Data Structures for Population-Scale Positional Burrows–Wheeler Transforms,2022,preprint,https://doi.org/10.1101/2022.09.16.508250,"0000-0001-7289-4988, 0000-0001-9509-9725, 0000-0003-2439-0608, 0000-0003-3689-327X, 0009-0008-1583-2914, 0000-0002-8721-4444, 0000-0002-3012-1394",Role of Long Noncoding RNAs in Cancer and Development,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,25,2,"['Memory footprint', 'Footprint', 'Genome-wide Association Studies', 'Bounding overwatch']",
