"Unnamed: 0","ORCID ID","Given_Name","Family_Name","Role","Keywords","Organization","H Index","Citations"
26,"0000-0002-3028-7212","Xiang-xiang","Yu","","Nessuna","","",""
27,"0000-0001-8733-895X","Wei-Wei","Wang","","Nessuna","","",""
28,"0000-0002-9071-7157","Jeon","Lee","Assistant Professor","Nessuna","The University of Texas Southwestern Medical Center",14,85189
29,"0000-0002-4339-8202","Emil","Hristov","Professor","Nessuna","Sofia University Saint Kliment Ohridski",7,259
30,"0000-0001-5137-0990","Amin","Allam","","Nessuna","Senior Lecturer, Universiti Teknologi MARA, 40450, Shah Alam, Selangor, MALAYSIA",9,320
31,"0000-0002-5217-2328","B","SATHYA BAMA","","Nessuna","Sathyabama Institute of Science and Technology",44,5107
32,"0009-0001-4373-4982","Mariana","Pelicano de Almeida","","Nessuna","i3S - Instituto de Investigação e Inovação em Saúde, Universidade do Porto","",""
33,"0000-0003-3915-7243","Richard","Adams","Professor","colorectal cancer, personalised treatment, survivorship, radiotherapy, palliation","Cardiff University",54,13622
34,"0009-0003-9522-5535","Daniel J.","Vis","","Nessuna","The Netherlands Cancer Institute",26,7329
35,"0000-0003-1987-7374","Aneta","Polewko-Klim","","Nessuna","Faculty of Computer Science, University of Bialystok",8,654
36,"0000-0002-4044-9166","Marc Thilo","Figge","Professor for Applied Systems Biology","image-baesd systems biology, host-pathogen interactions, image-baesdautomated image analysis, mathematical modeling, computer simulations","Leibniz Institute for Natural Product Research and Infection  Biology - Hans Knöll Institute, Friedrich Schiller University Jena, Germany",40,4628
37,"0009-0009-7273-9449","Richard","White","Research Affiliate","Nessuna","University of Sydney",44,63720
38,"0000-0003-3394-393X","Maya","Bronfeld","","Nessuna","","",""
39,"0000-0001-9181-6467","Jiaojiao","Li","","Nessuna","University of Technology Sydney",29,3198
40,"0000-0003-1232-315X","Jonathan ","Gordon","","Nessuna","University of Saskatchewan",54,11379
41,"0000-0002-8844-3572","Petr","Smirnov","Doctor of Sciences","Value, activity, society. evolutuon","Saint Petersburg State University ",20,2105
42,"0000-0003-2220-6897","Chuan","Wang","","Nessuna","North China University of Water Resources and Electric Power",82,33195
43,"0000-0001-7095-7332","Keith","Boroevich","Technical Staff I","Nessuna","RIKEN Center for Integrative Medical Sciences",28,7354
44,"0009-0001-9178-1900","Liuxia","Wang","","Nessuna","","",""
45,"0009-0009-9203-4753","Dmitry","Bocharov","","Nessuna","Institute of Solide State physics, University of Latvia",18,878
46,"0000-0002-5719-434X","lang","li","","Nessuna","Department of Electronics and Electrical Engineering, National Yang Ming Chiao Tung University",38,77271
47,"0000-0003-1783-5488","Nicola","Lazzarini","","Nessuna","Newcastle University",8,463
48,"0000-0002-4155-0688","Pongchanun","LUANGPAIBOON","","Nessuna","","",""
49,"0000-0002-7194-3263","Aditya","Arora","","Nessuna","Inception Institute of Artificial Intelligence",19,6781
50,"0009-0001-0370-2572","Raquel","Bello","Research Assistant","Nessuna","University of Wisconsin–Madison",25,2145
51,"0000-0001-8882-305X","Moonshik","Shin","","Nessuna","Chapman University",1,4
52,"0000-0003-2350-0756","Claudine","Chaouiya","Associate Professor","Computational biology, Discrete dynamical systems, Logical modelling, Regulatory networks, Signalling networks","Aix-Marseille University",39,6317
53,"0000-0002-4777-4586","Chayaporn","Suphavilai","","Nessuna","Genome Institute of Singapore",13,3468
54,"0000-0001-5251-9603","Zhiqing","Xu","","Nessuna","Karolinska Institute and Capital Medical University",47,7301
55,"0000-0001-5989-0499","Barbara","Bryant","","Nessuna","Constellation Pharmaceuticals",28,7205
56,"0000-0001-6829-3063","Haichen ","Zhang ","","Nessuna","Université Libre de Bruxelles",26,2283
57,"0000-0003-1030-5572","Brian R.","Lawler","Professor of Mathematics Education","Nessuna","Kennesaw State University",8,436
58,"0009-0004-2555-1762","luca maria","Gambardella","","Nessuna","Faculty of informatics, USI, IDSIA - USI-SUPSI, Artificialy SA, Lugano",77,59372
59,"0000-0001-7854-2027","venkateswararao","cherukuri","","Nessuna","Qualcomm, Sandiego",11,772
60,"0000-0002-5758-8090","Robert","Vogel","","Nessuna","Unknown affiliation",33,4785
61,"0009-0002-1356-3227","Fenglong","Song","","Nessuna","Huawei Noah's Ark Lab",13,813
62,"0000-0003-3491-2668","GIULIA","BERNARDINI","","Nessuna","University of Colorado Boulder",35,3960
63,"0000-0002-8166-2326","Symeon","Symeonidis","","Nessuna","Democritus University of Thrace, ENORA Innovation",14,950
64,"0000-0003-3587-3680","Ivan","Merelli","","Nessuna","Researcher in Bioinformatics, Institute for Biomedical Technologies",29,3389
65,"0000-0002-0451-6536","Zheng","Ning","PhD Student","Nessuna","Karolinska Institutet",76,30173
66,"0000-0001-8343-8929","Annalisa","MASSINI","Associate Professor","Nessuna","Sapienza University of Rome",18,885
67,"0000-0003-4691-7722","Wei-Wei","Liu","","Nessuna","","",""
68,"0000-0002-3780-9730","HEEWON","LEE","","Nessuna","Sejong University",20,1294
69,"0000-0002-6131-8624","Daniel","Hidru","","Nessuna","","",""
70,"0000-0001-6039-138X","Matteo","Orrù","","Nessuna","Lastminute.com",12,444
71,"0000-0002-9551-6370","Mélanie","Courtot","Assistant professor","Bioinformatics, Ontology","University of Toronto",30,12372
72,"0000-0003-4176-8035","Zudi","Lin","Research Assistant","Deep Learning, Computer Vision, Connectomics","Harvard University",35,4547
73,"0000-0002-4536-7450","Horace","Wang","","Nessuna","","",""
74,"0000-0001-9772-7772","Xin-xin","Wang","","Nessuna","","",""
75,"0000-0002-7702-4495","Allyson","Lister","","Nessuna","University of Oxford",18,4822
76,"0000-0001-7020-1236","Neil","Swainston","","Nessuna","University of Liverpool",38,8331
77,"0000-0001-5247-5073","Yves","Scherrer","","Natural language processing, dialects and closely related languages, machine translation, dialectome","University of Helsinki",25,2212
78,"0000-0002-2226-650X","Hidde","de Jong","","Nessuna","INRIA",38,9381
79,"0000-0002-0623-4989","Fernando","Perales","","Nessuna","JOT INTERNET MEDIA (Head of Research Lab)",8,247
80,"0000-0001-9926-7490","Binbin","Song","","Nessuna","University of Macau",5,106
81,"0000-0003-0632-3233","Jiye","Liu","","Nessuna","Dana-Farber Cancer Institute",11,642
82,"0000-0002-0886-9769","Tero","Aittokallio","","Nessuna","University of Helsinki",71,17830
83,"0000-0002-2314-5507","Marat","Kazanov","Head of the Translational Bioinformatics Group","Nessuna","Institute for Information Transmission Problems",43,13263
84,"0000-0001-6849-7568","paola","Bonizzoni","","Nessuna","University of Milano Bicocca",27,2472
85,"0000-0002-8630-1108","Ilya","Kiselev","","Nessuna","Breitmeier Messtechnik GmbH",14,900
86,"0000-0002-7706-186X","Fanglong","Liu","","Nessuna","Baidu",5,151
87,"0000-0002-1314-3348","Dries","De Maeyer","","Nessuna","Unknown affiliation",11,1405
88,"0000-0003-3686-6108","Matteo","Ritrovato","","Nessuna","","",""
89,"0000-0002-1240-5553","Andreas","Dräger","Professor","Information Visualization, Systems Biology Modeling, Software Engineering","Martin Luther University Halle-Wittenberg",36,6842
90,"0000-0002-3383-6504","Rui","Song","","Nessuna","North Carolina State University",37,5236
91,"0000-0001-9146-9872","DongWon","Park","","Nessuna","Unknown affiliation",30,3601
92,"0000-0001-8653-8837","Fabio","Sartori","","Nessuna","Professor do Programa de Pós Graduação em Engenharia de Produção e Sistemas - PPGEPS UNISINOS",16,807
93,"0000-0003-1817-2516","seung wook","kim","","Nessuna","NVIDIA",14,1793
94,"0000-0002-6457-2679","donna","dillenberger","","Nessuna","","",""
95,"0000-0002-1470-6288","Franziska","Klügl","Professor","Multiagent Systems, Artificial Intelligence, Modelling and Simulation, Visual Programming","Örebro Universitet","",""
96,"0000-0001-7802-8642","bingchen","Li","","Nessuna","Harvard Medical School",16,779
97,"0000-0003-3832-0280","Carlos","De Niz","Research Fellow","Bioinformatics, Computational Biology, Data Science, Engineering","Harvard Medical School",5,164
98,"0009-0000-7783-9937","Divi Galih Prasetyo","Putri","","Nessuna","Universitas Gadjah Mada",6,112
99,"0000-0002-9115-8756","Lukas","Endler","Postdoc","Nessuna","Medizinische Universität Wien",20,4021
100,"0000-0003-0335-2418","Paolo","Baili","","Nessuna","Fondazione IRCCS Istituto Nazionale dei Tumori","",""
101,"0000-0003-1252-2001","Zhi-Kai","Huang","","Nessuna","National Taiwan University",11,750
102,"0000-0003-1925-9154","Samuel","Kaski","","machine learning, probabilistic modeling, information visualization, computational biology, computational medicine, bioinformatics, brain signal analysis, information retrieval, proactive interfaces, user modeling","Professor, Aalto University and University of Manchester",73,21895
103,"0000-0003-3584-9998","Pierre","Neuvial","","Nessuna","CNRS, Institut de Mathématiques de Toulouse",20,11884
104,"0000-0001-7603-6497","Hongwei","Yong","","Nessuna","Research Assistant Professor  in the Hong Kong Polytechnic University",19,3354
105,"0000-0003-4080-8736","Fu","Li","","Nessuna","Baylor College of Medicine",40,64699
106,"0000-0003-3395-3417","Sriram","Pendyala","","Nessuna","","",""
107,"0000-0001-9552-316X","David","Wang","","Nessuna","Analyst: Climate Finance, Climate Policy Initiative",68,41206
108,"0000-0001-8275-2852","Yuanfang","Guan","","Nessuna","University of Michigan","",""
109,"0000-0003-0043-7416","Yosvany","Lopez Alvarez","","Nessuna","","",""
110,"0009-0006-3175-4544","Ana Belen","Malpartida","","Nessuna","Biomedizinisches Centrum München - LMU München",5,427
111,"0000-0003-4661-4959","Tao-tao","Zhang","","Nessuna","Institute of Tibetan Plateau Research, Chinese Academy of Sciences",6,288
112,"0000-0002-4413-5981","Xiaoting","Gao","","Nessuna","","",""
113,"0009-0003-5266-3527","Stephanie","Huang","","Nessuna","Fellow Health",49,10602
114,"0000-0003-2331-4523","Sandi","Gec","","Nessuna","University of Ljubljana","",""
115,"0000-0002-3663-7113","Emek","Demir","Associate Professor","Nessuna","Oregon Health & Science University",39,11039
116,"0000-0001-8876-6323","Gabriele","Ferrario","","Nessuna","Research Associate, University of Bologna",6,83
117,"0000-0002-8733-1042","PIETRO","DERRICO","","Nessuna","","",""
118,"0000-0003-3546-0093","Marcello","Gallucci","","Nessuna","Dep. of Psychology, University Milano-Bicocca",42,8416
119,"0000-0001-9849-9011","Tom","Wurdinger","","Nessuna","VU","",""
120,"0000-0002-3060-1419","BO","WANG","","Nessuna","普林斯顿大学物理学教授",162,145991
121,"0000-0001-7078-7927","Pekka","Marttinen","","Nessuna","Aalto University",34,10000
122,"0000-0002-4235-6844","David","Knowles","JET Safety Liason  ","Nessuna","UKAEA",38,10991
123,"0000-0002-5820-9881","Joseph","Usset","Data Scientist","Statistics, Bioinformatics, Data Science","Apple Inc",8,543
124,"0000-0002-6035-2994","Óscar","Espitia","","Nessuna","Departamento de Fisicoquímica - Universidad de Granada",26,2310
125,"0000-0003-4424-0674","Ali","Hmaity","","Nessuna","Humanity",95,55403
126,"0000-0002-6495-2655","Aurélien","Naldi","Researcher","Nessuna","Inria Centre de Recherche Saclay-Île-de-France",27,4938
127,"0000-0002-3655-1643","Dylan","Skola","Bioinformatics Scientist","Nessuna","Illumina, Inc.","",""
128,"0000-0003-4492-1680","silvia","spinelli","","Nessuna","Dra en Física, Facultad de Ciencias Exactas, UNLP",59,10792
129,"0009-0006-4582-8364","Maurizio","Feo","","Nessuna","","",""
130,"0000-0002-4268-6827","DAVIDE","MASPERO","","Nessuna","Single Cell Genomics Team - Centre Nacional d’Anàlisi Genòmica (CNAG-CRG), Barcelona, Spain",13,541
131,"0000-0003-3495-0795","Xiaobing","Wang","","Nessuna","John Hopkins University, Bloomberg School of Public Health",78,19100
132,"0000-0003-3783-8272","Bumjun","Park","","Nessuna","Associate Professor, Kyung Hee University, Korea",40,5201
133,"0000-0002-5393-9594","Hanwen","Liu","","Nessuna","Curtin University",20,1865
134,"0009-0003-6945-3489","Andrey","Ignatov","","Nessuna","ETH Zurich",23,3768
135,"0000-0003-2425-6572","Boris","Lublinsky","","Nessuna","","",""
136,"0000-0001-5207-4579","EMANUELE","PRETI","","Nessuna","Unknown affiliation",25,3404
137,"0000-0002-5765-1248","Sofia","Bressan","","Nessuna","Unknown affiliation",4,98
138,"0000-0002-2168-1373","Ewoud","De Troyer","","Nessuna","","",""
139,"0000-0001-7409-7448","Chuansheng","Wang","","Nessuna","Research Fellow, PhD, National University of Singapore",8,242
140,"0009-0006-3378-160X","Giulia","Pugliese","","Nessuna","Agostino Gemelli University Polyclinic","",""
141,"0000-0002-3761-7683","Alexander T. J.","Barron","","Nessuna","Post-doctoral Associate, NYU Abu Dhabi",5,327
142,"0000-0002-3283-6131","Mauro","Dell'Amico","Full professor","Nessuna","Università degli Studi di Modena e Reggio Emilia","",""
143,"0000-0003-3767-2153","MIJIN","KWON","","Nessuna","Samsung Electronics",4,64
144,"0000-0002-4450-701X","Tjeerd","Dijkstra","","Systems Biology, Bioinformatics, Machine Learning","University Clinic Tubingen",24,2494
145,"0000-0002-0447-9157","Julia","Hopkins","","Nessuna","Professor, Wills Eye, Hopkins, Jefferson",122,67248
146,"0000-0001-5843-618X","Benjamin","Sadacca","","Nessuna","","",""
147,"0000-0002-1633-0130","Samik","Ghosh","","Nessuna","Assistant Professor, Department of Physics, Indian Institute of Technology Hyderabad",135,87194
148,"0000-0002-2069-9774","Valentina","Dorigatti","","Nessuna","Unknown affiliation",3,55
149,"0000-0002-9871-0806","peter","morales","","Nessuna","Microsoft",8,303
150,"0000-0003-2402-363X","Salman","Khan","","Nessuna","MBZUAI, Australian National University",77,26180
151,"0000-0002-1652-3944","Bo","van Engelen","PhD","Nessuna","Maastricht University","",""
152,"0000-0002-7194-5218","junyu","chen","","Nessuna","West China Hospital of Stomatology, Sichuan University",32,2994
153,"0000-0003-2533-1298","Simone","Scaboro","","Nessuna","University of Udine",6,64
154,"0000-0002-3805-1546","Jinseub","Hwang","","Statistics, Bayesian, Medical Statistics, Daegu University","Daegu University",20,1870
155,"0000-0002-2042-5669","Riccardo","Riva","","Solid Earth Geophysics, Global Geodynamics, Sea Level Change, Glacial Isostatic Adjustment, Viscoelastic deformation, Post-seismic Deformation","Delft University of Technology",39,6302
156,"0000-0001-5160-7396","Stefano","Pirro","","Bolometers, Double beta decay","INFN resercher","",""
157,"0000-0002-7212-3398","Cassandra","Freitas","","Nessuna","","",""
158,"0000-0001-5382-2444","Ya-Chih (Emma)","Hsueh","","Nessuna","","",""
159,"0000-0002-1962-891X","Stephen","Fawell","","Nessuna","","",""
160,"0000-0003-1797-9385","liye","he","","Nessuna","Postdoc, University of Helsinki",11,1221
161,"0000-0003-3953-7692","Chongyi","Li","","Nessuna","Professor, Nankai University",47,13718
162,"0000-0002-4068-5361","Yulun","Zhang","","Nessuna","Associate Professor, Shanghai Jiao Tong University",51,22298
163,"0000-0002-1735-6279","Di","He","","Nessuna","Peking University",43,9911
164,"0000-0002-3413-6841","Ioannis","Xenarios","","computational biology, bioinformatics, immunology, biochemistry","UNIL/CHUV/Health2030 Genome Center",87,58873
165,"0000-0003-3046-2217","Eyal","Ben Zion","Data Scientist","Machine Learning, Data Scientist, Statistics","Cerebri AI",5,238
166,"0000-0003-3216-7852","Yanlin","Qian","","Nessuna","DJI/Hasselblad, Tampere University",9,581
167,"0000-0003-3005-4109","John","See","","Nessuna","Heriot-Watt University",37,5141
168,"0000-0002-3931-8249","Mathilde","Bateson","","Nessuna","ETS Montréal",9,401
169,"0009-0004-8379-4068","Mikhail","Zaslavskiy","","Nessuna","Unknown affiliation",17,2802
170,"0000-0002-1855-9887","Ryan","Miller","Associate Professor of Higher Education","Nessuna","UNC Charlotte",61,29326
171,"0000-0001-7982-1941","Angeliki-Ilektra","Karaiskou","","Nessuna","KU Leuven",1,1
172,"0000-0002-7353-6362","Kyung","Kim","","Nessuna","Department of Applied Chemistry, Kyung Hee University",62,25885
173,"0000-0002-9617-2813","Lucia","Clemente","","COVID-19; rendimiento escolar; educación online; estudiantes universitarios; educación superior","Instituto de Investigaciones Biológicas Clemente Estable",4,44
174,"0000-0002-5876-6215","MARIO","MAURI","","Nessuna","post doctoral position, University of milano Bicocca",15,934
175,"0000-0003-4952-2136","Rim","Faiz","","Nessuna","Professeur en Informatique, IHEC, Université de Carthage",17,1141
176,"0000-0002-1102-0387","Lester","Mackey","","Nessuna","Microsoft Research",41,6379
177,"0000-0003-0001-8211","Stephen","Capuzzi","Postdoctoral Fellow","Computational Chemistry, Cheminformatics, Bioinformatics, Protein-Protein Interactions, Structure-based Docking, Molecular Dynamics, Molecular Modeling, Data Mining, Small-world Networks, Exome Analysis, Cell Culture, Molecular Biology, NMR","UNC Catalyst for Rare Diseases",26,2048
178,"0000-0001-8749-1356","Antonia","Bertolino","Research Director","Nessuna","Consiglio Nazionale delle Ricerche",49,9234
179,"0000-0003-2487-2885","Tomoki","Yoshida","","Nessuna","","",""
180,"0009-0003-6591-9333","xiaojun","ling","","Nessuna","","",""
181,"0000-0003-0318-0118","Juntae","Kim","","Nessuna","Elsevier",40,4805
182,"0000-0001-9380-5235","Xiumei ","Wang ","","Nessuna","Xidian University",10,2298
183,"0000-0003-0736-802X","Darren James","Wilkinson","","Nessuna","","",""
184,"0000-0002-1656-6995","Lodewyk","Wessels","Professor","Nessuna","Delft University of Technology",96,50306
185,"0000-0002-5812-4052","Peter","Gehler","","computer vision, machine learning","Amazon.com",42,16053
186,"0000-0003-1840-5551","Eiji","Kaneko","","Nessuna","NEC Corporation",5,68
187,"0000-0001-7103-7589","Arnoldo ","Frigessi","","Nessuna","University of Oslo",46,9309
188,"0000-0002-5945-0159","Abdullah M.","Khamis","","Nessuna","King Abdullah University of Science and Technology (KAUST)",6,545
189,"0000-0002-3867-5957","Je-Hoon","Song","","Nessuna","","",""
190,"0000-0001-8114-4839","Tianli","Liu","","Nessuna","","",""
191,"0000-0002-7764-6745","Davide","Rossi","","Nessuna","Associate Professor, University Of Bologna",40,6184
192,"0000-0001-5838-7963","Douglas","Kell","","Systems Biology - omics - analytics - iron - drug transporters, deep learning - microbial dormancy","The University of Manchester",133,74485
193,"0000-0003-2629-8776","Jiawei","Wu","","Nessuna","Unknown affiliation",43,10091
194,"0000-0003-4991-4148","Mushthofa","Mushthofa","Lecturer & Researcher","artificial intelligence, machine learning, bioinformatics, declarative programming, network biology","Bogor Agricultural University",16,3312
195,"0000-0001-7656-1160","Niklas","Tötsch","","Nessuna","","",""
196,"0009-0009-7447-1204","Francesco","Calimeri","","Nessuna","Associate Professor of Computer Science, University of Calabria (UNICAL), Italy",27,3078
197,"0000-0003-3654-6155","Fan","Fan","","Nessuna","James Wilson is a 31-year-old sports content creator from Manchester, UK. He is a huge football fan and supports his local team. With ATZ Sport, he focuses on providing live sports streams to users all over the world. This would require a lot of technical expertise and resources. However, with his passion for sports, he would work tirelessly to ensure that the website offers a seamless and high-quality streaming experience for all users. In addition, he would also aim to create a community of sports fans and enthusiasts on the website, fostering a sense of belonging and engagement among users.  #ATZsport #ATZfootball #atzsports247 #atzsportstoday About me:  Website: https://atzsport.com/   Email: JamesWilsonATZsport@gmail.com Address: Manchester, UK",231,219107
198,"0000-0001-9614-7610","Camir","Ricketts","","Nessuna","PhD Candidate, Weill Cornell Medicine",10,730
199,"0000-0003-4078-6514","Xiaotao","Wang","","Nessuna","Fudan University",13,966
